name,pseudonym,position,source
Charles Antoine Jombert,C.A.,first,Publishers
Charles Savreux,Savreux,last,Publishers
Charles Savreux,Charles,first,Publishers
Charles Savreux,C.,first,Publishers
Christian Mehl,Mehl,last,Publishers
Christian Mehl,Christian,first,Publishers
Christian Mehl,C.,first,Publishers
Erhard Ratdolt,Ratdolt,last,Publishers
Erhard Ratdolt,Erhard,first,Publishers
Erhard Ratdolt,E.,first,Publishers
Firmin Didot,Firmin,first,Publishers
Firmin Didot,F.,first,Publishers
Francisci Honophi,Honophi,last,Publishers
Francisci Honophi,Francisci,first,Publishers
Francisci Honophi,F.,first,Publishers
G. Reimer,Reimer,last,Publishers
G. Reimer,Georg,first,Publishers
G. Reimer,G.,first,Publishers
Giovanni Tacuino,Tacuino,last,Publishers
Giovanni Tacuino,Giovanni,first,Publishers
Giovanni Tacuino,G.,first,Publishers
Gottfried Kiesewetter,Kiesewetter,last,Publishers
Gottfried Kiesewetter,Gottfried,first,Publishers
Gottfried Kiesewetter,G.,first,Publishers
Guilielmi Nealand,Nealand,last,Publishers
Guilielmi Nealand,Guilielmi,first,Publishers
Guilielmi Nealand,G.,first,Publishers
Guillaume Auvray,Auvray,last,Publishers
Guillaume Auvray,Jean,first,Publishers
Guillaume Auvray,G.,first,Publishers
Guillaume Desprez,Desprez,last,Publishers
Guillaume Desprez,Guillaume,first,Publishers
Guillaume Desprez,G.,first,Publishers
Henri Le Gras,Le Gras,last,Publishers
Henri Le Gras,Henri,first,Publishers
Henri Le Gras,H.,first,Publishers
Henri Le Gras,L.,first,Publishers
Henri Le Gras,H.L.,first,Publishers
Henri Scheurleer,Scheurleer,last,Publishers
Henri Scheurleer,Hendrik Florisz,first,Publishers
Henri Scheurleer,H.,first,Publishers
Henry Clements,Clements,last,Publishers
Henry Clements,Henry,first,Publishers
Henry Clements,H.,first,Publishers
J. Johnson,Johnson,last,Publishers
J. Johnson,J.,first,Publishers
Jacob Meursius,Meursius,last,Publishers
Jacob Meursius,Jacob,first,Publishers
Jacob Meursius,J.,first,Publishers
Jacob Valsif,Valsif,last,Publishers
Jacob Valsif,Jacob,first,Publishers
Jacob Valsif,J.,first,Publishers
Jan Bouwensz,Bouwensz,last,Publishers
Jan Bouwensz,Jan,first,Publishers
Jan Bouwensz,J.,first,Publishers
Jean Antoine Joallin,Joallin,last,Publishers
Jean Antoine Joallin,Jean Antoine,first,Publishers
Jean Antoine Joallin,J.,first,Publishers
Jean Antoine Joallin,A.,first,Publishers
Jean Antoine Joallin,J.A.,first,Publishers
Jean Hénault,Hénault,last,Publishers
Jean Hénault,Jean,first,Publishers
Jean Hénault,J.,first,Publishers
Jean Jombert,Jombert,last,Publishers
Jean Jombert,Jean,first,Publishers
Jean Jombert,J.,first,Publishers
"Jean di Tournes, Guillaume Gazeau",di Tournes,last,Publishers
"Jean di Tournes, Guillaume Gazeau",Jean,first,Publishers
"Jean di Tournes, Guillaume Gazeau",J.,first,Publishers
"Jean di Tournes, Guillaume Gazeau",d.,first,Publishers
"Jean di Tournes, Guillaume Gazeau",T.,first,Publishers
"Jean di Tournes, Guillaume Gazeau",G.,first,Publishers
"Jean di Tournes, Guillaume Gazeau",J.d.T.G.,first,Publishers
"Jean di Tournes, Guillaume Gazeau",Gazeau,last,Publishers
"Jean di Tournes, Guillaume Gazeau",Guillaume,first,Publishers
Job Hertz,Hertz,last,Publishers
Job Hertz,Job,first,Publishers
Job Hertz,J.,first,Publishers
Johann Herwagen,Herwagen,last,Publishers
Johann Herwagen,Johann,first,Publishers
Johann Herwagen,J.,first,Publishers
Johann Royer,Royer,last,Publishers
Johann Royer,Johann,first,Publishers
Johann Royer,J.,first,Publishers
Johannes Janssonius,Janssonius,last,Publishers
Johannes Janssonius,Johannes,first,Publishers
Johannes Janssonius,J.,first,Publishers
John Daye,Day,last,Publishers
John Daye,John,first,Publishers
John Daye,J.,first,Publishers
Josias Rihel,_x0001_,last,Publishers
Josias Rihel,Rihel,last,Publishers
Josias Rihel,Josias,first,Publishers
Josias Rihel,J.,first,Publishers
Jérôme Verdussi,Verdussi,last,Publishers
Jérôme Verdussi,Jérôme,first,Publishers
Jérôme Verdussi,J.,first,Publishers
"Jérôme de Marnef, Guillaume Cauellat",de Marnef,last,Publishers
"Jérôme de Marnef, Guillaume Cauellat",Jérôme,first,Publishers
"Jérôme de Marnef, Guillaume Cauellat",J.,first,Publishers
"Jérôme de Marnef, Guillaume Cauellat",d.,first,Publishers
"Jérôme de Marnef, Guillaume Cauellat",M.,first,Publishers
"Jérôme de Marnef, Guillaume Cauellat",G.,first,Publishers
"Jérôme de Marnef, Guillaume Cauellat",J.d.M.G.,first,Publishers
"Jérôme de Marnef, Guillaume Cauellat",Cauellat,last,Publishers
"Jérôme de Marnef, Guillaume Cauellat",Guillaume,first,Publishers
M. Patris,probalby C. F. Patris,last,Publishers
Philipp Fievets,Fievets,last,Publishers
Philipp Fievets,Philipp,first,Publishers
Philipp Fievets,P.,first,Publishers
Pralard,"dublicate of ""Andrè Pralard""",last,Publishers
"Riegel, Wiesner",Riegel,last,Publishers
Rita Cassiana,Cassiana,last,Publishers
Rita Cassiana,Rita,first,Publishers
Rita Cassiana,R.,first,Publishers
"Robert Foulis, Andrew Foulis",Foulis,last,Publishers
"Robert Foulis, Andrew Foulis",Robert,first,Publishers
"Robert Foulis, Andrew Foulis",R.,first,Publishers
"Robert Foulis, Andrew Foulis",F.,first,Publishers
"Robert Foulis, Andrew Foulis",A.,first,Publishers
"Robert Foulis, Andrew Foulis",R.F.A.,first,Publishers
"Robert Foulis, Andrew Foulis",Andrew,first,Publishers
Samuel Farrer,Samuel,first,Publishers
Samuel Farrer,S.,first,Publishers
Simon Halbmayer,Halbmayer,last,Publishers
Simon Halbmayer,Simon,first,Publishers
Simon Halbmayer,S.,first,Publishers
Simon de Colines,de Colines,last,Publishers
Simon de Colines,Simon,first,Publishers
Simon de Colines,S.,first,Publishers
Simon de Colines,d.,first,Publishers
Simon de Colines,S.d.,first,Publishers
Stamperia Reale,Reale,last,Publishers
Stamperia Reale,Stamperia,first,Publishers
Stamperia Reale,S.,first,Publishers
Venturino Ruffinelli,Ruffinelli,last,Publishers
Venturino Ruffinelli,Venturino,first,Publishers
Venturino Ruffinelli,V.,first,Publishers
Vincentium Accoltum,Accoltum,last,Publishers
Vincentium Accoltum,Vincentium,first,Publishers
Vincentium Accoltum,V.,first,Publishers
