geographic_reach_type,matched_edition_count,author_line_count,practical_count,practical_share,books_1_6_or_solids_count,books_1_6_or_solids_share,vernacular_non_latin_count,vernacular_non_latin_share,small_format_8_or_smaller_count,small_format_8_or_smaller_share,large_format_folio_quarto_count,large_format_folio_quarto_share,institution_count,institution_share,jesuit_count,jesuit_share,pedagogy_access_count,pedagogy_access_share,method_order_count,method_order_share,augmentation_count,augmentation_share,restoration_ancient_count,restoration_ancient_share,correction_count,correction_share,visual_aids_count,visual_aids_share
interregional_route,54,17,1,0.018518518518518517,20,0.37037037037037035,16,0.2962962962962963,24,0.4444444444444444,28,0.5185185185185185,26,0.48148148148148145,5,0.09259259259259259,9,0.16666666666666666,26,0.48148148148148145,21,0.3888888888888889,46,0.8518518518518519,15,0.2777777777777778,0,0.0
pan_european_multi_region,29,3,10,0.3448275862068966,21,0.7241379310344828,12,0.41379310344827586,23,0.7931034482758621,5,0.1724137931034483,25,0.8620689655172413,14,0.4827586206896552,11,0.3793103448275862,23,0.7931034482758621,13,0.4482758620689655,28,0.9655172413793104,16,0.5517241379310345,7,0.2413793103448276
single_city,132,89,11,0.08333333333333333,44,0.3333333333333333,68,0.5151515151515151,58,0.4393939393939394,68,0.5151515151515151,51,0.38636363636363635,2,0.015151515151515152,14,0.10606060606060606,48,0.36363636363636365,45,0.3409090909090909,108,0.8181818181818182,11,0.08333333333333333,18,0.13636363636363635
single_region,38,10,4,0.10526315789473684,19,0.5,27,0.7105263157894737,28,0.7368421052631579,9,0.23684210526315788,6,0.15789473684210525,3,0.07894736842105263,10,0.2631578947368421,26,0.6842105263157895,28,0.7368421052631579,34,0.8947368421052632,21,0.5526315789473685,15,0.39473684210526316
