author_canonical,key,year,year_num,period_25,city,language,format,short_title
Denis Henrion,Paris_1631,1631,1631.0,1625-1649,Paris,FRENCH,8,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
Denis Henrion,Paris_1632,1632,1632.0,1625-1649,Paris,FRENCH,4,Les quinze livres des éléments géométriques d'Euclide
Pierre Le Mardelé,Paris_1632a,1632,1632.0,1625-1649,Paris,FRENCH,8,
Jan Pietersz Dou,Rotterdam_1632,1632,1632.0,1625-1649,Rotterdam,DUTCH,8,
Jacob Willemsz,Hamburg_1633,1633,1633.0,1625-1649,Hamburg,DUTCH,4,
Pierre Hérigone,Paris_1634,1634,1634.0,1625-1649,Paris,FRENCH,8,Cursus mathematicus
Pierre Hérigone,Paris_1634,1634,1634.0,1625-1649,Paris,LATIN,8,Cursus mathematicus
Luis Carducci,Alcala_1637,1637,1637.0,1625-1649,Alcala,DUTCH,4,
Luis Carducci,Alcala_1637,1637,1637.0,1625-1649,Alcala,LATIN,4,
Jacob Willemsz,Hamburg_1638,1638,1638.0,1625-1649,Hamburg,DUTCH,4,
Pierre Hérigone,Paris_1639,1639,1639.0,1625-1649,Paris,FRENCH,8,"Les Six premiers livres des Éléments d'Euclide, démonstrez par notes d'une méthode très briève et intelligible,... par Pierre Hérigone,..."
Caterino Doino,Venice_1641,1641,1641.0,1625-1649,Venice,LATIN,12,
Pierre Hérigone,Paris_1644,1644,1644.0,1625-1649,Paris,FRENCH,8,Euclides: Les six premiers livres des Éléments d'Euclide
Pierre Hérigone,Paris_1644b,1644,1644.0,1625-1649,Paris,FRENCH,8,"Cursus mathematicus noua, breui, et clara methodo demonstratus"
Pierre Hérigone,Paris_1644b,1644,1644.0,1625-1649,Paris,LATIN,8,"Cursus mathematicus noua, breui, et clara methodo demonstratus"
Marin Mersenne,Paris_1644c,1644,1644.0,1625-1649,Paris,LATIN,4,
Pierre Le Mardelé,Lyon_1645,1645,1645.0,1625-1649,Lyon,FRENCH,8,
Pierre Le Mardelé,Lyon_1646,1646,1646.0,1625-1649,Lyon,FRENCH,8,
Jan Pietersz Dou,Rotterdam_1647,1647,1647.0,1625-1649,Rotterdam,DUTCH,8,
Jan Pietersz Dou,Utrecht_1647,1647,1647.0,1625-1649,Utrecht,DUTCH,8,
Caterino Doino,Venice_1647,1647,1647.0,1625-1649,Venice,LATIN,8,
Denis Henrion,Rouen_1649,1649,1649.0,1625-1649,Rouen,FRENCH,8,"Les quinze livres des éléments, , traduicts de latin en françois par D. Henrion"
Thomas Rudd,London_1651,1651,1651.0,1650-1674,London,ENGLISH,4,"Euclides Elements of geometry: the first VI books: in a compendious form contracted and demonstrated. By Captain Thomas Rudd, chiefe engineer to his late Majesty. Whereunto is added, the mathematicall preface of Mr. John Dee."
Honorat de Meynier,Paris_1652,1652,1652.0,1650-1674,Paris,FRENCH,12,
Jacob Willemsz,Amsterdam_1660,1660,1660.0,1650-1674,Amsterdam,DUTCH,4,
"John Leeke, George Serle",London_1661,1661,1661.0,1650-1674,London,ENGLISH,2,
Christian Melder,Leiden_and_Amsterdam_1673,1673,1673.0,1650-1674,"Leiden, Amsterdam",LATIN,6,
Denis Henrion,Rouen_1676,1676,1676.0,1675-1699,Rouen,FRENCH,8,
Denis Henrion,Rouen_and_Paris_1677,1677,1677.0,1675-1699,"Rouen, Paris",FRENCH,8,
Leonardo Fioravanti,Naples_1679,1679,1679.0,1675-1699,Naples,LATIN,8,
Jan Pietersz Dou,Rotterdam_1681,1681,1681.0,1675-1699,Rotterdam,DUTCH,8,
"Jacques Rohault, Claude Clerselier",Paris_1682a,1682,1682.0,1675-1699,Paris,FRENCH,4,"Les six premiers Livres des Elemens d’Euclide, in Ouvres posthumes"
Claude-François Milliet Dechales,Lausanne_1683,1683,1683.0,1675-1699,Lausanne,FRENCH,12,"Les Élémens d'Euclide, expliquez d'une manière nouvelle …  par le P. Claude-François Milliet-Dechales"
Denis Henrion,Rouen_and_Paris_1683,1683,1683.0,1675-1699,"Rouen, Paris",FRENCH,8,
D. Joanni Franciso Polo,Bologna_1684,1684,1684.0,1675-1699,Bologna,LATIN,8,
Denis Henrion,Rouen_and_Paris_1685,1685,1685.0,1675-1699,"Rouen, Paris",FRENCH,8,"Les quinze livres des Elemens geometriques d'Euclide; et son Livre des donnez avec des commentaires beaucoup plus amples & beaucoup plus faciles que dans les editions precedentes, et un Traité sommaire de l'algebre par le Sieur Henrion."
Jacques Rohault,The_Hague_1690,1690,1690.0,1675-1699,The Hague,FRENCH,12,
Henrick Coets,Leiden_1691,1691,1691.0,1675-1699,Leiden,LATIN,4,Euclidis Elementorum Sex Libri Priores Demonstrati
Henrick Coets,Leiden_1692,1692,1692.0,1675-1699,Leiden,LATIN,4,
Jacques Ozanam,Paris_1693,1693,1693.0,1675-1699,Paris,FRENCH,8,Cours de mathematique
Anton Ernst Burckhard von Pirckenstein,Vienna_1694,1694,1694.0,1675-1699,Vienna,GERMAN,4,Teutsch-Redender Euclides
Claas Janszen Vooght,Amsterdam_1695,1695,1695.0,1675-1699,Amsterdam,DUTCH,4,
Jacques Ozanam,Amsterdam_1697,1697,1697.0,1675-1699,Amsterdam,FRENCH,8,
Jacques Ozanam,Paris_1697,1697,1697.0,1675-1699,Paris,FRENCH,8,
Jacques Ozanam,Paris_1697,1697,1697.0,1675-1699,Paris,LATIN,8,
Anton Ernst Burckhard von Pirckenstein,Lübeck_and_Frankfurt_1699,1699,1699.0,1675-1699,"Lübeck, Frankfurt",GERMAN,4,"Teutsch-Redender Euclides, oder Acht Bücher Von Denen Anfängen der Mess=Kunst: Auff eine neue und gantz leichte Art, zu Nutzen, allen Generalen, Ingeniern, Natur- und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern in Teutscher Sprach eingerichtet und bewiesen"
Elias Astorinus,Naples_1701,1701,1701.0,1700-1724,Naples,LATIN,8,
Pietro Paolo Caravaggi,Milan_1702,1702,1702.0,1700-1724,Milan,ITALIAN,6,
Porpora,Naples_1702,1702,1702.0,1700-1724,Naples,LATIN,8,
Isaac Barrow,London_1705,1705,1705.0,1700-1724,London,ENGLISH,12,
Samuel Reyher,Kiel_Hamburg_and_Leipzig_1697,1697,1697.0,1675-1699,"Hamburg, Leipzig",GERMAN,4,"Samuel Reyhers, Icti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof. In Teutscher Sprache vorgestellter Euclides, Dessen VI. erste Bücher auf sonderbahre Art, Mit Algebraischen Zeichen, also eingerichtet sind, daß man derselben Beweise auch in andern Sprachen gebrauchen kan"
David Gregory,Oxford_1703,1703,1703.0,1700-1724,Oxford,LATIN,2,"Eukleidou Ta Swzomena, Euclidis quae supersunt omnia"
David Gregory,Oxford_1703,1703,1703.0,1700-1724,Oxford,GREEK,2,"Eukleidou Ta Swzomena, Euclidis quae supersunt omnia"
Christoffer Dybvad,Lyon_1603,1603,1603.0,1600-1624,Lyon,LATIN,4,In geometriam Euclidis prioribus sex Elementorum libris comprehensam Demonstratio linealis Numeralis
Antoine Arnauld,Paris_1667,1667,1667.0,1650-1674,Paris,FRENCH,4,Nouveaux Élémens de géométrie
Giovanni Alfonso Borelli,Pisa_1658,1658,1658.0,1650-1674,Pisa,LATIN,4,"Euclides restitutus, sive prisca geometriae elementa"
Jean Prestet,Paris_1675,1675,1675.0,1675-1699,Paris,FRENCH,4,"Elemens des mathematiques, ou principes generaux de toutes les sciences qui ont les grandeurs pour objet"
Vitale Giordano da Bitonto,Rome_1680,1680,1680.0,1675-1699,Rome,ITALIAN,2,"Euclide Restituto, overo gli antichi elementi geometrici ristaurati e facilitati"
Bernard Lamy,Paris_1685,1685,1685.0,1675-1699,Paris,FRENCH,8,Les elemens de geometrie
Lucas Brunn,Nuremberg_1625,1625,1625.0,1625-1649,Nuremberg,GERMAN,4,Euclidis elementa practica oder Ausszug aller Problematum und Handarbeiten auss den 15 Büchern Euclidis
André Tacquet,Antwerp_1665,1665,1665.0,1650-1674,Antwerp,LATIN,8,
Giovanni Alfonso Borelli,Rome_1695,1695,1695.0,1675-1699,Rome,LATIN,12,
Martinus Erici Gestrinius,Uppsala_1642,1642,1642.0,1625-1649,Uppsala,LATIN,unknown,In geometriam Euclidis demonstrationum libri sex
Christopher Clavius,Mainz_1611_1612,1611/1612,1611.0,1600-1624,Mainz,LATIN,2,"Geometria Practica, Arithmetica Practica, Algebra"
Jean de la Pène,Paris_1557a,1557,1557.0,1550-1574,Paris,LATIN,4,
Jean de la Pène,Paris_1557b,1557,1557.0,1550-1574,Paris,GREEK,4,
Jean de la Pène,Paris_1557b,1557,1557.0,1550-1574,Paris,LATIN,4,
Conrad Dasypodius,Strasbourg_1557,1557,1557.0,1550-1574,Strasbourg,GREEK,4,
Conrad Dasypodius,Strasbourg_1557,1557,1557.0,1550-1574,Strasbourg,LATIN,4,
Francesco Maurolico,Messina_1558,1558,1558.0,1550-1574,Messina,LATIN,2,
Pierre Forcadel,Paris_1565a,1565,1565.0,1550-1574,Paris,FRENCH,4,"Les septième, huitième et neuvième livres des Éléments d’Euclide"
Pierre Forcadel,Paris_1566b,1566,1566.0,1550-1574,Paris,FRENCH,8,Le livre de la musique
Ignazio Danti,Florence_1573,1573,1573.0,1550-1574,Florence,ITALIAN,4,
Pedro Ambrosio Ondériz,Madrid_1585,1585,1585.0,1575-1599,Madrid,SPANISH,4,
Jean de la Pène,Leiden_1599,1599,1599.0,1575-1599,Leiden,LATIN,4,
Jean de la Pène,Paris_1604,1604,1604.0,1600-1624,Paris,LATIN,4,
Roland Fréart,Le_Mans_1663,1663,1663.0,1650-1674,Le Mans,FRENCH,4,
Giorgio Valla,Venice_1498,1498,1498.0,1475-1499,Venice,LATIN,2,
Johannes de Sacrobosco,Paris_1500,1500,1500.0,1500-1524,Paris,LATIN,2,
Johannes de Sacrobosco,Paris_1507,1507,1507.0,1500-1524,Paris,LATIN,2,
Johannes de Sacrobosco,Paris_1511,1511,1511.0,1500-1524,Paris,LATIN,2,
Johannes de Sacrobosco,Paris_1516a,1516,1516.0,1500-1524,Paris,LATIN,2,
Johannes de Sacrobosco,Paris_1521,1521,1521.0,1500-1524,Paris,LATIN,2,"Textus de Sphaera, introductoria additione commentarioque ad utilitatem studentium philosophiae Parisiensis Academiae illustratus, cum compositione annuli astronomici et geometria"
Johannes de Sacrobosco,Paris_1527,1527,1527.0,1525-1549,Paris,LATIN,2,
Johannes de Sacrobosco,Paris_1531,1531,1531.0,1525-1549,Paris,LATIN,2,
Johannes de Sacrobosco,Paris_1534,1534,1534.0,1525-1549,Paris,LATIN,2,
Johannes de Sacrobosco,Paris_1538,1538,1538.0,1525-1549,Paris,LATIN,2,
Conrad Dasypodius,Strasbourg_1572,1572,1572.0,1550-1574,Strasbourg,LATIN,8,
Guiseppe Auria,Rome_1591,1591,1591.0,1575-1599,Rome,LATIN,4,"Phaenomena post Zamberti, & Maurolyci editionem, nunc tandem de Vaticana. bibliotheca deprompta. Scholiis antiquis: & figuris optimis illustrata: & de Graeca lingua in Latinam conversa. A Iosepho. Auria. Neapolitano. His additae sunt Maurolyci breves aliquot annotationes"
Antonio Possevino,Rome_1593,1593,1593.0,1575-1599,Rome,LATIN,2,
Antonio Possevino,Venice_1603,1603,1603.0,1600-1624,Venice,LATIN,2,
Antonio Possevino,Cologne_1607a,1607,1607.0,1600-1624,Cologne,LATIN,2,
Christoph Meurer,Leipzig_1607,1607,1607.0,1600-1624,Leipzig,LATIN,8,
Guiseppe Auria,Rome_1609,1609,1609.0,1600-1624,Rome,LATIN,4,
Claude Hardy,Paris_1625,1625,1625.0,1625-1649,Paris,GREEK,4,
Claude Hardy,Paris_1625,1625,1625.0,1625-1649,Paris,LATIN,4,
Marcus Meibom,Amsterdam_1652,1652,1652.0,1650-1674,Amsterdam,LATIN,4,
Isaac Barrow,Cambridge_1657,1657,1657.0,1650-1674,Cambridge,LATIN,unknown,
"Thomas Bradwardine, Pedro Ciruelo",70Q8M8,1495,1495.0,1475-1499,Paris,LATIN,4,Breve compendium artis geometrie
Giorgio Valla,IC4Y79,1501,1501.0,1500-1524,Venice,LATIN,2,De expetendis et fugiendis rerum opus
"Johannes Vögelin, Johann Alexander Brassicanus",TTORPR,1528,1528.0,1525-1549,Vienna,LATIN,4,Elementale geometricum ex Euclidis geometria
Robert Recorde,FA6MQ0,1551,1551.0,1550-1574,London,ENGLISH,4,"The Pathway to Knowledg, containing the First Principles of Geometrie"
André Tacquet,WWE4ON,1656,1656.0,1650-1674,Leuven,LATIN,8,Arithmeticae theoria et praxis
Gilles François Gottignies,ZQA6JR,1669,1669.0,1650-1674,Rome,LATIN,12,Elementa geometriae planae
Edmund Scarburgh,F2WVY3,1705,1705.0,1700-1724,Oxford,ENGLISH,unknown,"The English Euclide, being The First Six Elements of Geometry, translated out of the Greek"
"Gemma Frisius, Pierre Forcadel",ZNLALU,1560,1560.0,1550-1574,Paris,FRENCH,4,L'arithmetique 
Simon Stevin,1QQS64,1618,1618.0,1600-1624,Rotterdam,FRENCH,2,La castrametation
"Michael, Joachim Tancke, Philipp Melanchthon",4ZSED7,1589,1589.0,1575-1599,Leipzig,LATIN,8,"Pselli philosophi et mathematici clarissimi geometria edita studio M. Christophori meureri, mathematum professoris publici in academia Lipsiensi."
"Albrecht Dürer, Joachim Camerarius",JTZKPV,1532,1532.0,1525-1549,Paris,LATIN,2,"Pictoribus, fabris erariis ac lignariis quatuor his suarum institutionum geometricarum libris, lineas, superficies et solida corpora tractavit"
Pietro Antonio Cataldi,8DP4C1,1613,1613.0,1600-1624,Bologna,ITALIAN,unknown,I primi sei libri de gl’Elementi d’Euclide ridotti alla Prattica
Honoré Fabri,Lyon_1669,1669,1669.0,1650-1674,Lyon,LATIN,12,Synopsis geometrica
Edmund Scarburgh,Oxford_1705,1705,1705.0,1700-1724,Oxford,ENGLISH,2,"The English Euclide, being The First Six Elements of Geometry, translated out of the Greek"
Marinus Neapolitanus,T4DFPF,1558,1558.0,1550-1574,Basel,LATIN,2,Euclidis megarensis mathematici clarissimi Elementorum geometricorum libri XV 
Bartolomeo Zamberti,GY5QLD,1537,1537.0,1525-1549,Basel,LATIN,4,Euclidis Megarensis Mathematici Clarissimi Elementorum geometricorum Lib. XV
