geographic_reach_type,author_line_count,matched_edition_count,any_practical_author_count,any_practical_author_share,majority_practical_author_count,majority_practical_author_share,any_books_1_6_or_solids_author_count,any_books_1_6_or_solids_author_share,majority_books_1_6_or_solids_author_count,majority_books_1_6_or_solids_author_share,any_vernacular_non_latin_author_count,any_vernacular_non_latin_author_share,majority_vernacular_non_latin_author_count,majority_vernacular_non_latin_author_share,any_small_format_8_or_smaller_author_count,any_small_format_8_or_smaller_author_share,majority_small_format_8_or_smaller_author_count,majority_small_format_8_or_smaller_author_share,any_large_format_folio_quarto_author_count,any_large_format_folio_quarto_author_share,majority_large_format_folio_quarto_author_count,majority_large_format_folio_quarto_author_share,any_institution_author_count,any_institution_author_share,majority_institution_author_count,majority_institution_author_share,any_jesuit_author_count,any_jesuit_author_share,majority_jesuit_author_count,majority_jesuit_author_share,any_pedagogy_access_author_count,any_pedagogy_access_author_share,majority_pedagogy_access_author_count,majority_pedagogy_access_author_share,any_method_order_author_count,any_method_order_author_share,majority_method_order_author_count,majority_method_order_author_share,any_augmentation_author_count,any_augmentation_author_share,majority_augmentation_author_count,majority_augmentation_author_share,any_restoration_ancient_author_count,any_restoration_ancient_author_share,majority_restoration_ancient_author_count,majority_restoration_ancient_author_share,any_correction_author_count,any_correction_author_share,majority_correction_author_count,majority_correction_author_share,any_visual_aids_author_count,any_visual_aids_author_share,majority_visual_aids_author_count,majority_visual_aids_author_share
interregional_route,17,54,1,0.058823529411764705,1,0.058823529411764705,9,0.5294117647058824,9,0.5294117647058824,8,0.47058823529411764,5,0.29411764705882354,6,0.35294117647058826,6,0.35294117647058826,11,0.6470588235294118,11,0.6470588235294118,9,0.5294117647058824,6,0.35294117647058826,3,0.17647058823529413,0,0.0,6,0.35294117647058826,5,0.29411764705882354,9,0.5294117647058824,9,0.5294117647058824,11,0.6470588235294118,9,0.5294117647058824,16,0.9411764705882353,15,0.8823529411764706,8,0.47058823529411764,6,0.35294117647058826,0,0.0,0,0.0
pan_european_multi_region,3,29,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,3,1.0,3,1.0,2,0.6666666666666666,0,0.0,3,1.0,3,1.0,3,1.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,3,1.0,3,1.0,3,1.0,1,0.3333333333333333,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333
single_city,89,132,10,0.11235955056179775,8,0.0898876404494382,35,0.39325842696629215,32,0.3595505617977528,48,0.5393258426966292,48,0.5393258426966292,35,0.39325842696629215,35,0.39325842696629215,55,0.6179775280898876,53,0.5955056179775281,32,0.3595505617977528,32,0.3595505617977528,2,0.02247191011235955,2,0.02247191011235955,10,0.11235955056179775,10,0.11235955056179775,33,0.3707865168539326,32,0.3595505617977528,29,0.3258426966292135,28,0.3146067415730337,70,0.7865168539325843,70,0.7865168539325843,8,0.0898876404494382,8,0.0898876404494382,10,0.11235955056179775,9,0.10112359550561797
single_region,10,38,1,0.1,0,0.0,6,0.6,5,0.5,6,0.6,6,0.6,7,0.7,7,0.7,5,0.5,3,0.3,3,0.3,3,0.3,1,0.1,1,0.1,4,0.4,3,0.3,7,0.7,6,0.6,7,0.7,6,0.6,9,0.9,9,0.9,5,0.5,5,0.5,4,0.4,3,0.3
