author_canonical,geographic_reach_type,matched_edition_count,any_practical,majority_practical,practical_share,any_books_1_6_or_solids,majority_books_1_6_or_solids,books_1_6_or_solids_share,any_vernacular_non_latin,majority_vernacular_non_latin,vernacular_non_latin_share,any_small_format_8_or_smaller,majority_small_format_8_or_smaller,small_format_8_or_smaller_share,any_large_format_folio_quarto,majority_large_format_folio_quarto,large_format_folio_quarto_share,any_institution,majority_institution,institution_share,any_jesuit,majority_jesuit,jesuit_share,any_pedagogy_access,majority_pedagogy_access,pedagogy_access_share,any_method_order,majority_method_order,method_order_share,any_augmentation,majority_augmentation,augmentation_share,any_restoration_ancient,majority_restoration_ancient,restoration_ancient_share,any_correction,majority_correction,correction_share,any_visual_aids,majority_visual_aids,visual_aids_share
Luis Carducci,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Marcus Meibom,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0
Marinus Neapolitanus,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Martinus Erici Gestrinius,single_city,1,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
"Michael, Joachim Tancke, Philipp Melanchthon",single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
Nasir al-Din al-Tusi,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Pedro Ambrosio Ondériz,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Pierre Bourdín,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Pietro Antonio Cataldi,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Porpora,single_city,1,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Robert Recorde,single_city,1,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
Rodorigo de Zamorano,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Roland Fréart,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Simon Grynaeus,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0
Simon Marius,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0
"Thomas Bradwardine, Pedro Ciruelo",single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
Thomas Rudd,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
Valentin Naboth,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
Vincenzio Viviani,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Vitale Giordano da Bitonto,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Wilhelm Xylander,single_city,1,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0
"Xu Guangqi, Matteo Ricci",single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
"Xu Guangqi, Matteo Ricci, Li Zhizao",single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
Étienne Gracile,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Jan Pietersz Dou,single_region,10,True,False,0.4,True,True,1.0,True,True,1.0,True,True,0.8,True,False,0.2,False,False,0.0,False,False,0.0,True,True,0.5,True,True,1.0,True,True,0.9,True,True,1.0,True,True,0.8,True,True,0.6
Denis Henrion,single_region,9,False,False,0.0,True,False,0.1111111111111111,True,True,1.0,True,True,0.8888888888888888,True,False,0.1111111111111111,False,False,0.0,False,False,0.0,True,False,0.3333333333333333,True,False,0.4444444444444444,True,True,0.8888888888888888,True,True,1.0,True,True,0.7777777777777778,True,False,0.4444444444444444
Pierre Le Mardelé,single_region,4,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
Caterino Doino,single_region,3,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,False,0.3333333333333333,True,True,0.6666666666666666,False,False,0.0,False,False,0.0
Gaspar Schott,single_region,3,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0
Elias Astorinus,single_region,2,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,0.5,True,True,1.0,False,False,0.0,True,True,1.0,True,True,0.5,False,False,0.0
"Federico Commandino, Valerio Spacciuoli",single_region,2,False,False,0.0,False,False,0.0,True,True,0.5,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.5,True,True,1.0,True,True,1.0,False,False,0.0,True,True,0.5
Frans van Schooten,single_region,2,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,0.5,False,False,0.0,True,True,0.5,False,False,0.0,True,True,0.5,True,True,1.0,False,False,0.0,False,False,0.0
Henrick Coets,single_region,2,False,False,0.0,True,True,0.5,True,True,0.5,True,True,0.5,True,True,0.5,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Christian Melder,single_region,1,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0
