marker,Jesuit-marked,Other Elements
1-6 + solids,0.5416666666666666,0.0808510638297872
practical,0.2916666666666667,0.051063829787234
method/order,0.7083333333333334,0.4042553191489361
correction,0.5,0.2127659574468085
translation,0.0,0.3063829787234042
multi-region print,0.5833333333333334,0.0616740088105726
