cluster_key,from_key,to_key,from_year,to_year,year_delta,from_city,to_city,from_language,to_language,same_city,same_language
1543E2,Basel_1537,Basel_1546,1537,1546,9,Basel,Basel,LATIN,LATIN,True,True
1583AD,Urbino_1575,Pesaro_1619a,1575,1619,44,Urbino,Pesaro,ITALIAN,ITALIAN,False,True
175D0F,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True
1A8E75,Basel_1537,Basel_1558,1537,1558,21,Basel,Basel,LATIN,LATIN,True,True
1BC688,Paris_1615,Paris_1621,1615,1621,6,Paris,Paris,FRENCH,FRENCH,True,True
1E43FB,Naples_1810,HZ5UVJ,1810,1814,4,Naples,Naples,ITALIAN,ITALIAN,True,True
1E9FSI,Venice_1543,Venice_1565,1543,1565,22,Venice,Venice,ITALIAN,LATIN,True,False
1E9FSI,Venice_1565,Venice_1585,1565,1585,20,Venice,Venice,LATIN,LATIN,True,True
1E9FSI,Venice_1585,Venice_1586,1585,1586,1,Venice,Venice,LATIN,LATIN,True,True
21B89B,Urbino_1575,Pesaro_1619a,1575,1619,44,Urbino,Pesaro,ITALIAN,ITALIAN,False,True
23A04F,Venice_1505,Venice_1510,1505,1510,5,Venice,Venice,LATIN,LATIN,True,True
253787,Venice_1505,Venice_1510,1505,1510,5,Venice,Venice,LATIN,LATIN,True,True
271C9A,Paris_1549,Paris_1558a,1549,1558,9,Paris,Paris,LATIN,LATIN,True,True
290080,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True
293DF7,Paris_1565,Paris_1565a,1565,1565,0,Paris,Paris,FRENCH,FRENCH,True,True
2CDFE7,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True
2E80DC,Paris_1610,Paris_1613,1610,1613,3,Paris,Paris,FRENCH,FRENCH,True,True
30C5A0,Naples_1810,HZ5UVJ,1810,1814,4,Naples,Naples,ITALIAN,ITALIAN,True,True
316EC6,Paris_1544,Paris_1551,1544,1551,7,Paris,Paris,LATIN,LATIN,True,True
31AD31,Ingolstadt_1617,Bologna_1629,1617,1629,12,Ingolstadt,Bologna,LATIN,LATIN,False,True
31E054,Halle_1758,56DVN2,1773,1818,45,Halle,"Halle, Berlin",GERMAN,GERMAN,False,True
33F276,Venice_1565,Venice_1585,1565,1585,20,Venice,Venice,LATIN,LATIN,True,True
3800A6,Naples_1810,HZ5UVJ,1810,1814,4,Naples,Naples,ITALIAN,ITALIAN,True,True
3A1720,Halle_1758,56DVN2,1773,1818,45,Halle,"Halle, Berlin",GERMAN,GERMAN,False,True
3A47AD,Paris_1615,Paris_1631,1615,1631,16,Paris,Paris,FRENCH,FRENCH,True,True
3EC771,Paris_1615,Paris_1621,1615,1621,6,Paris,Paris,FRENCH,FRENCH,True,True
433EA3,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True
488235,Basel_1537,Basel_1546,1537,1546,9,Basel,Basel,LATIN,LATIN,True,True
48FFCA,Paris_1544,Paris_1551,1544,1551,7,Paris,Paris,LATIN,LATIN,True,True
511DB1,Paris_1536,Paris_1544,1536,1544,8,Paris,Paris,LATIN | GREEK,LATIN,True,False
516BE0,Paris_1549,Paris_1558a,1549,1558,9,Paris,Paris,LATIN,LATIN,True,True
541676,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True
573CB8,Paris_1794,KVSFF1,1794,1799,5,Paris,Paris,FRENCH,FRENCH,True,True
57F24C,Naples_1810,HZ5UVJ,1810,1814,4,Naples,Naples,ITALIAN,ITALIAN,True,True
5A9AEC,Rome_1629,Rome_1655,1629,1655,26,Rome,Rome,LATIN,LATIN,True,True
6199F5,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True
63B0F2,Paris_1565,Paris_1565a,1565,1565,0,Paris,Paris,FRENCH,FRENCH,True,True
677374,London_1678,London_1685,1678,1685,7,London,London,LATIN,LATIN,True,True
69662F,Paris_1610,Paris_1613,1610,1613,3,Paris,Paris,FRENCH,FRENCH,True,True
6D0814,Halle_1758,56DVN2,1773,1818,45,Halle,"Halle, Berlin",GERMAN,GERMAN,False,True
6E7B7F,Wittenberg_1609,Wittenberg_1634,1609,1634,25,Wittenberg,Wittenberg,LATIN,LATIN,True,True
6FAA21,Venice_1505,Venice_1510,1505,1510,5,Venice,Venice,LATIN,LATIN,True,True
6TZUKK,Cologne_1580,Cologne_1587,1580,1587,7,Cologne,Cologne,LATIN,LATIN,True,True
70EC9A,Venice_1565,Venice_1585,1565,1585,20,Venice,Venice,LATIN,LATIN,True,True
725DB7,Venice_1565,Venice_1586,1565,1586,21,Venice,Venice,LATIN,LATIN,True,True
765E15,Halle_1758,56DVN2,1773,1818,45,Halle,"Halle, Berlin",GERMAN,GERMAN,False,True
7908FD,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True
7BDH40,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True
7BZII3,Beijing_1607,Beijing_1611,1607,1611,4,Beijing,Beijing,CHINESE,CHINESE,True,True
7D4571,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True
7DF2B5,Paris_1565,Paris_1565a,1565,1565,0,Paris,Paris,FRENCH,FRENCH,True,True
7F0AFC,Ingolstadt_1617,Bologna_1629,1617,1629,12,Ingolstadt,Bologna,LATIN,LATIN,False,True
7FA130,Venice_1565,Venice_1585,1565,1585,20,Venice,Venice,LATIN,LATIN,True,True
8FLVS0,Paris_1610,Paris_1613,1610,1613,3,Paris,Paris,FRENCH,FRENCH,True,True
9DFF43,Paris_1615,Paris_1621,1615,1621,6,Paris,Paris,FRENCH,FRENCH,True,True
9ZQKIV,Paris_1527,Paris_1531,1527,1531,4,Paris,Paris,LATIN,LATIN,True,True
9ZQKIV,Paris_1531,Paris_1534,1531,1534,3,Paris,Paris,LATIN,LATIN,True,True
C3FKBW,Venice_1505,Venice_1510,1505,1510,5,Venice,Venice,LATIN,LATIN,True,True
E87DB8,Urbino_1575,Pesaro_1619a,1575,1619,44,Urbino,Pesaro,ITALIAN,ITALIAN,False,True
GY8NU4,Basel_1537,Basel_1546,1537,1546,9,Basel,Basel,LATIN,LATIN,True,True
GY8NU4,Basel_1546,Basel_1558,1546,1558,12,Basel,Basel,LATIN,LATIN,True,True
IJTAW0,Leiden_1691,Leiden_1692,1691,1692,1,Leiden,Leiden,LATIN,LATIN,True,True
JG2OCV,Paris_1573,Paris_1598,1573,1598,25,Paris,Paris,LATIN,LATIN,True,True
LKF40C,London_1678,London_1685,1678,1685,7,London,London,LATIN,LATIN,True,True
LKF40C,London_1685,London_1687,1685,1687,2,London,London,LATIN,LATIN,True,True
MBTNS7,Paris_1643b,Paris_1644a,1643,1644,1,Paris,Paris,LATIN,LATIN,True,True
