elements_books,additional_content,wardhaugh_classification,key,short_title,short_title_source,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,year_num,city_clean,language_clean,period_25
"1–6, 11–12",,CLAVIUS,London_1696,"The elements of Euclid explain'd, in a new, but most easie method: together with the use of every proposition through all parts of the mathematicks. Written in French, by that excellent mathematician, F. Claud. Francis Milliet de Chales, of the Society of Jesus. Now made English, and a multitude of errors corrected, which had escap'd in the original.",Provided by catalog,1696,London,ENGLISH,Claude-François Milliet Dechales,M. Gillyflower and W. Freeman,8.0,1.0,3130905,,,1696.0,London,ENGLISH,1675-1699
"1–6, 11–12",,CLAVIUS,Oxford_London_1700,,,1700,"Oxford, London",ENGLISH,Claude-François Milliet Dechales,M. Gillyflower,8.0,1.0,-,,,1700.0,"Oxford, London",ENGLISH,1700-1724
1-6,,DOU,Amsterdam_1634,"Die sechs ersten Bücher Euclidis, Deß Hochgelährten weitberümbten, Griechischen Philosophi und Mathematici: Von den Anfängen und fundamenten der Geometriae : Dabey dann mancherley auß diesen Büchern gezogene Nutzbarkeiten angefüget seind: sampt den Specie",Provided by catalog,1634,Amsterdam,"GERMAN, LATIN","Jan Pietersz Dou, Sebastian Curtius",Ioann Iansz,8.0,1.0,2022211,,,1634.0,Amsterdam,GERMAN | LATIN,1625-1649
1–15,,HÉRIGONE/BARROW,London_1686,"Euclid's Elements. The whole fifteen books compendiously demonstrated by Mr. Isaac Barrow, Fellow of Trinity Colledge in Cambridge. And translated out of the Latin.",Provided by catalog,1686,London,ENGLISH,Isaac Barrow,Christopher Hussey and E. P.,12.0,1.0,3107650,,,1686.0,London,ENGLISH,1675-1699
1–15,,HÉRIGONE/BARROW,London_1660,,,1660,London,ENGLISH,Isaac Barrow,William Nealand,8.0,1.0,,,,1660.0,London,ENGLISH,1650-1674
1–6,,DOU,Amsterdam_1618,,,1618,Amsterdam,GERMAN,"Jan Pietersz Dou, Sebastian Curtius",Wilhelm Janss,4.0,1.0,,,,1618.0,Amsterdam,GERMAN,1600-1624
1-15,,CAMPANUS,Venice_1482,"Preclarissimus liber elementorum Euclidis perspicacissimi, in artem geometrie incipit quam foelicissime",Specified in source,1482,Venice,LATIN,Erhard Ratdolt,Erhard Ratdolt,2.0,1.0,,Erhard Rathold edited the Campano da Novara edition and published it.,,1482.0,Venice,LATIN,1475-1499
7-9,,MAGNIENUS/GRACILIS and DASYPODIUS,Arnhem_1605,,,1605,Arnhem,LATIN,Christoffer Dybvad,,4.0,1.0,-,,,1605.0,Arnhem,LATIN,1600-1624
1–15,,CAMPANUS,Vicenza_1491,,,1491,Vicenza,LATIN,Leonardo Achati,,2.0,1.0,-,"We don't have the title page, and from the wording of the title we do have, I suspect there is no title page� The EiP title is: Preclarissimus liber elementorum Euclidis perspicacissimi: in artem Geometrie incipit quamfœlicissime:",,1491.0,Vicenza,LATIN,1475-1499
14,,,Venice_1498a,,,1498,Venice,LATIN,Giorgio Valla,Simon Papiensem,2.0,3.0,,,True,1498.0,Venice,LATIN,1475-1499
1-15,"Phaenomena, Optica, Catoptrica, Data",ZAMBERTI/GRYNAEUS (THEON),Venice_1505,Euclidis megarensis philosophi platonici mathematicarum disciplinarum Ianitoris,Specified in source,1505,Venice,LATIN,Bartolomeo Zamberti,Giovanni Tacuino,2.0,1.0,,,,1505.0,Venice,LATIN,1500-1524
1–4,,CAMPANUS,Frankfurt_1506,Algorithmus mercatorrum variis proposicionibus eorundem contractibus inseruientibus multum decoratus,Provided by catalog,1506,Frankfurt,LATIN,Ambrosius Lacher,,4.0,1.0,610758,"I suspect this is not a title page, but only a title. From eip: ""Preclarissimus liber elementorum Euclidis perspicacissimi. in artem Geometrie incipit quamfoelicissime""",,1506.0,Frankfurt,LATIN,1500-1524
1-15,,CAMPANUS,Venice_1509,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controversia principis opera,Specified in source,1509,Venice,LATIN,Luca Pacioli,Paganino,2.0,1.0,,,,1509.0,Venice,LATIN,1500-1524
1-15,"Phaenomena, Optica, Catoptrica, Data",ZAMBERTI/GRYNAEUS (THEON),Venice_1510,Euclidis megarensis philosophi platonici mathematicarum disciplinarum janitoris,Specified in source,1510,Venice,LATIN,Bartolomeo Zamberti,Giovanni Tacuino,2.0,1.0,,,,1510.0,Venice,LATIN,1500-1524
1-15,,D’ÉTAPLES,Paris_1516,Euclidis Megarensis geometricorum elementorum libri XV,Specified in source,1516,Paris,LATIN,Jacques Lefèvre d'Étaples,Henri Estienne,2.0,1.0,,,,1516.0,Paris,LATIN,1500-1524
1-15,,ZAMBERTI/GRYNAEUS (THEON),Basel_1533,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ. Euclidis Elementa.,Specified in source,1533,Basel,"GREEK, LATIN",Simon Grynaeus,Johann Herwagen,2.0,1.0,,,,1533.0,Basel,GREEK | LATIN,1525-1549
1-15,"Phaenomena, Catoptrica, Optica, Data, De levi et ponderoso",D’ÉTAPLES,Basel_1537,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,Specified in source,1537,Basel,LATIN,Christian Herlin,Johann Herwagen,2.0,1.0,,,,1537.0,Basel,LATIN,1525-1549
1,,ZAMBERTI/GRYNAEUS (THEON),Strasbourg_1538,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ ἐκ τῶν τοῦ ΘΕΩΝΟΣ συνουσιῶν τὸ πρῶτον,Specified in source,1538,Strasbourg,"GREEK, LATIN",Josias Rihel (?),Josias Rihel (?),4.0,1.0,,,,1538.0,Strasbourg,GREEK | LATIN,1525-1549
1-15,,D’ÉTAPLES,Venice_1543,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",Specified in source,1543,Venice,ITALIAN,Niccolò Tartaglia,Venturino Ruffinelli,2.0,1.0,,"""Secondo le due Tradottioni"" - meaning, Campanus and Zamberti.",,1543.0,Venice,ITALIAN,1525-1549
1-15,,ZAMBERTI/GRYNAEUS (THEON),Paris_1545,Elementa mathematica,Provided by catalog,1545,Paris,LATIN,Pierre de la Ramée,Ludouicus Grandinus,8.0,1.0,200620,,,1545.0,Paris,LATIN,1525-1549
,,ZAMBERTI/GRYNAEUS (THEON),Rome_1545,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε. Euclidis Elementorum libri XV,Specified in source,1545,Rome,GREEK,Angelo Caiani,,8.0,1.0,,,,1545.0,Rome,GREEK,1525-1549
1-15,,ZAMBERTI/GRYNAEUS (THEON),Rome_1545a,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε. Euclidis Elementorum libri XV,Specified in source,1545,Rome,LATIN,Angelo Caiani,Antonio Blado Asolano,8.0,1.0,,,,1545.0,Rome,LATIN,1525-1549
1-15,"Phaenomena, Catoptrica, Optica, Data, De levi et ponderoso",D’ÉTAPLES,Basel_1546,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,Specified in source,1546,Basel,LATIN,Christian Herlin,Johann Herwagen,2.0,1.0,,,,1546.0,Basel,LATIN,1525-1549
1-6,,ZAMBERTI/GRYNAEUS (THEON),Leipzig_1549,"Euclidis elementorum geometricorum libri sex, conversi in Latinum sermonem",Specified in source,1549,Leipzig,LATIN,"Joachim Kammermeister, Georg Joachim Rhäticus",Georg Joachim Rhäticus,8.0,1.0,654436,,,1549.0,Leipzig,LATIN,1525-1549
,,ZAMBERTI/GRYNAEUS (THEON),Paris_1549,Euclides,Specified in source,1549,Paris,LATIN,Pierre de la Ramée,Thomas Richardus,8.0,1.0,,,,1549.0,Paris,LATIN,1525-1549
10,,MONTDORÉ,Paris_1551a,Euclidis elementorum liber decimus,Specified in source,1551,Paris,LATIN,Pierre de Montdoré,Jean de Vascosan,4.0,1.0,,,,1551.0,Paris,LATIN,1550-1574
10,,MONTDORÉ,Paris_1552,,,1552,Paris,LATIN,Pierre de Montdoré,Jean de Vascosan,4.0,1.0,-,,,1552.0,Paris,LATIN,1550-1574
1-15,,D’ÉTAPLES,Cologne_1556,Euclidis Megarensis mathematici clarissimi elementorum geometricorum liber primus,Specified in source,1556,Cologne,LATIN,Valentin Naboth,Birckmann,8.0,1.0,,,,1556.0,Cologne,LATIN,1550-1574
1-6,,D’ÉTAPLES,Lyon_1557,In Euclidis Elementa geometrica demonstrationum libri sex,Specified in source,1557,Lyon,LATIN,Jacques Peletier,"Jean di Tournes, Guillaume Gazeau",2.0,1.0,,,,1557.0,Lyon,LATIN,1550-1574
1-15,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1557,"Euclidis Elementorum libri XV, Graecè et Latinè",Specified in source,1557,Paris,LATIN,"Jean Magnien, Étienne Gracile",,8.0,1.0,,,,1557.0,Paris,LATIN,1550-1574
1-15,"Phaenomena, Catoptrica, Optica, Data, De levi et ponderoso",D’ÉTAPLES,Basel_1558,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,Provided by catalog,1558,Basel,LATIN,Christian Herlin,"Johann Herwagen, Bernhard Brand",2.0,1.0,654852,,,1558.0,Basel,LATIN,1550-1574
1–15 (enunciations),,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1558,,,1558,Paris,LATIN,"Jean Magnien, Étienne Gracile",Guillaume Cavellat,8.0,1.0,,,,1558.0,Paris,LATIN,1550-1574
,,ZAMBERTI/GRYNAEUS (THEON),Paris_1558a,Euclides,Specified in source,1558,Paris,LATIN,Pierre de la Ramée,Thomas Richard,4.0,1.0,,,,1558.0,Paris,LATIN,1550-1574
1,,ZAMBERTI/GRYNAEUS (THEON),Strasbourg_1559,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ ἐκ τῶν τοῦ Θέωνος συνουσιῶν τὸ πρῶτον,Specified in source,1559,Strasbourg,"GREEK, LATIN",,Josias Rihel,8.0,1.0,,,,1559.0,Strasbourg,GREEK | LATIN,1550-1574
1-6,,ZAMBERTI/GRYNAEUS (THEON),Basel_1562,"Die sechs ersten Bücher Euclidis, vom Anfang oder Grund der Geometrie",Specified in source,1562,Basel,GERMAN,Wilhelm Xylander,,2.0,1.0,,,,1562.0,Basel,GERMAN,1550-1574
,,MAGNIENUS/GRACILIS and DASYPODIUS,Cologne_1564,"Euclidis elementorum libri XV, Graece et Latine",Specified in source,1564,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Maternus Cholinus,8.0,1.0,,,,1564.0,Cologne,LATIN,1550-1574
7,,ZAMBERTI/GRYNAEUS (THEON),Wittenberg_1564,Arithmetices Euclideae,Specified in source,1564,Wittenberg,"GREEK, LATIN",Joannes Sthen,,8.0,1.0,,,,1564.0,Wittenberg,GREEK | LATIN,1550-1574
1-15,De levi et ponderoso,D’ÉTAPLES,Venice_1565,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",Specified in source,1565,Venice,LATIN,Niccolò Tartaglia,Curtio Troiano,8.0,1.0,,,,1565.0,Venice,LATIN,1550-1574
1-16,,FOIX,Paris_1566,Euclidis Megarensis mathematici clarissimi elementa geometrica libri XV,Specified in source,1566,Paris,LATIN,François de Foix-Candale,Johann Royer,2.0,1.0,,"scans show two different editions, although seems like same text",,1566.0,Paris,LATIN,1550-1574
1-15,De levi et ponderoso,D’ÉTAPLES,Venice_1569,"Euclide megarense acutissimo philosopho, solo introduttore delle scientie mathematice",Specified in source,1569,Venice,LATIN,Niccolò Tartaglia,Giovanni Bariletto,8.0,1.0,,,,1569.0,Venice,LATIN,1550-1574
1-16,,FOIX,London_1570,The elements of geometrie of the most ancient philosopher Euclide of Megara,Specified in source,1570,London,ENGLISH,"Henry Billingsley, John Dee",John Daye,2.0,1.0,,,,1570.0,London,ENGLISH,1550-1574
1–15,"Optica, Catoptrica, Introductio harmonica, Sectio canonis, Phaenomena (enunciations in Greek and Latin)",MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1570a,,,1570,Strasbourg,"GREEK, LATIN",Conrad Dasypodius,Christian Mehl,8.0,1.0,,,,1570.0,Strasbourg,GREEK | LATIN,1550-1574
1,,MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1571,,,1571,Strasbourg,LATIN,Conrad Dasypodius,,8.0,1.0,,,,1571.0,Strasbourg,LATIN,1550-1574
1–15,"Optica, Catoptrica, Introductio harmonica, Sectio canonis, Phaenomena, Data (enunciations)",MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1571a,,,1571,Strasbourg,LATIN,Conrad Dasypodius,,8.0,1.0,,,,1571.0,Strasbourg,LATIN,1550-1574
1-15,,COMMANDINO,Pesaro_1572,Euclidis elementorum libri XV una cum scholiis antiquis,Specified in source,1572,Pesaro,LATIN,Federico Commandino,Camillo Franceschini,2.0,1.0,,,,1572.0,Pesaro,LATIN,1550-1574
1–15 (enunciations),,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1573,,,1573,Paris,LATIN,"Jean Magnien, Étienne Gracile","Jerome de Marnef, William Cauellat",8.0,1.0,,,,1573.0,Paris,LATIN,1550-1574
1-15,,COMMANDINO,Urbino_1575,De gli elementi d’Euclide libri quindici con gli scolii antichi,Specified in source,1575,Urbino,ITALIAN,"Federico Commandino, Valerio Spacciuoli",Domenico Frisolino,2.0,1.0,,,,1575.0,Urbino,ITALIAN,1575-1599
13-15,,MAUROLICUS,Venice_1575,Opuscula mathematica,Specified in source,1575,Venice,LATIN,Francesco Maurolico,Francesco de Franceschi,4.0,1.0,,,,1575.0,Venice,LATIN,1575-1599
1-18,,FOIX,Paris_1578,Elementa libris XV. ad Germanam geometriae intelligentiam è diversis lapsibus temporis iniuria contractis restituta,Specified in source,1578,Paris,LATIN,François de Foix-Candale,Jean di Tournes,2.0,1.0,,,,1578.0,Paris,LATIN,1575-1599
1–15 (enunciations),,MAGNIENUS/GRACILIS and DASYPODIUS,Cologne_1580,,,1580,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Maternus Cholinus,8.0,1.0,,,,1580.0,Cologne,LATIN,1575-1599
1-15,De levi et ponderoso,D’ÉTAPLES,Venice_1585,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",Specified in source,1585,Venice,LATIN,Niccolò Tartaglia,Troiano,4.0,1.0,,,,1585.0,Venice,LATIN,1575-1599
1-15,De levi et ponderoso,D’ÉTAPLES,Venice_1586,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",Specified in source,1586,Venice,LATIN,Niccolò Tartaglia,Troiano,4.0,1.0,,,,1586.0,Venice,LATIN,1575-1599
1–15 (enunciations),,MAGNIENUS/GRACILIS and DASYPODIUS,Cologne_1587,,,1587,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Maternus Cholinus,8.0,1.0,,,,1587.0,Cologne,LATIN,1575-1599
1-13,,ps-TUSI,Rome_1594,Euclidis elementorum geometricorum libri tredecim ex traditione doctissimi Nasiridini Tusini,Specified in source,1594,Rome,"ARABIC, LATIN",Nasir al-Din al-Tusi,Medicea,2.0,1.0,,,,1594.0,Rome,ARABIC | LATIN,1575-1599
1–15 (enunciations),,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1598,,,1598,Paris,LATIN,"Jean Magnien, Étienne Gracile",Veuve Guillaume Cavellat,8.0,1.0,,,,1598.0,Paris,LATIN,1575-1599
,,MAGNIENUS/GRACILIS and DASYPODIUS,Cologne_1600,Euclidis Elementorum Libri XV,Specified in source,1600,Cologne,LATIN,"Jean Magnien, Étienne Gracile",Gosuinus Cholinus,8.0,1.0,,,,1600.0,Cologne,LATIN,1600-1624
1–18,,FOIX,Cologne_1602,,,1602,Cologne,LATIN,François de Foix-Candale,Jean di Tournes,2.0,1.0,,,,1602.0,Cologne,LATIN,1600-1624
1–18,,FOIX,Paris_1602,,,1602,Paris,LATIN,François de Foix-Candale,Jean di Tournes,2.0,1.0,-,,,1602.0,Paris,LATIN,1600-1624
1-6,,MAGNIENUS/GRACILIS and DASYPODIUS,Arnhem_1603,In geometriam Euclidis prioribus sex elementorum libris comprehensam demonstratio linealis,Specified in source,1603,Arnhem,LATIN,Christoffer Dybvad,Johannes Jansz,4.0,1.0,,,,1603.0,Arnhem,LATIN,1600-1624
10,,MAGNIENUS/GRACILIS and DASYPODIUS,Arnhem_1605a,In arithmeticam irrationalium Euclidis ,Specified in source,1605,Arnhem,LATIN,Christoffer Dybvad,Johannes Jansz,4.0,1.0,-,,,1605.0,Arnhem,LATIN,1600-1624
1-6,,DOU,Leiden_1606,De ses eerste boucken Euclidis,Specified in source,1606,Leiden,DUTCH,Jan Pietersz Dou,Jan Bouwensz,4.0,1.0,,,,1606.0,Leiden,DUTCH,1600-1624
1–6,,CLAVIUS,Beijing_1607,,,1607,Beijing,CHINESE,"Xu Guangqi, Matteo Ricci",,,1.0,,https://www.google.com/books/edition/%E5%B9%BE%E4%BD%95%E5%8E%9F%E6%9C%AC/EtcM0QEACAAJ,,1607.0,Beijing,CHINESE,1600-1624
1–6,,DOU,Leiden_1607,,,1607,Leiden,DUTCH,Jan Pietersz Dou,Ian Iansz. Orlers,4.0,1.0,-,,,1607.0,Leiden,DUTCH,1600-1624
1-6,,D’ÉTAPLES,Geneva_1610,In Euclidis Elementa geometrica demonstrationum libri sex,Specified in source,1610,Geneva,LATIN,Jacques Peletier,Jean di Tournes,4.0,1.0,,,,1610.0,Geneva,LATIN,1600-1624
1–6,,D’ÉTAPLES,Geneva_1611,Les six premiers livres des Eléments géométriques,Provided by catalog,1611,Geneva,FRENCH,"Jacques Peletier, Jean de Tournes",Jean di Tournes,4.0,1.0,6702902,,,1611.0,Geneva,FRENCH,1600-1624
1–6,,CLAVIUS,Beijing_1611,,,1611,Beijing,CHINESE,"Xu Guangqi, Matteo Ricci",,,1.0,-,,,1611.0,Beijing,CHINESE,1600-1624
1–15,,MAGNIENUS/GRACILIS and DASYPODIUS,Cologne_1612,,,1612,Cologne,LATIN,Étienne Gracile,Gosuinus Cholinus,8.0,1.0,,,,1612.0,Cologne,LATIN,1600-1624
10,,CLAVIUS,Paris_1612,Euclidis elementorum decimum,Specified in source,1612,Paris,LATIN,Florimond du Puy,Jean de Heuqueville,2.0,1.0,,,,1612.0,Paris,LATIN,1600-1624
1-15,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1613,Les éléments de la géométrie d’Euclide Mégarien,Specified in source,1613,Paris,FRENCH,Didier Dounot,Jacques Le Roy,4.0,1.0,,,,1613.0,Paris,FRENCH,1600-1624
1-15,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1615,"Les quinze livres des Éléments d’Euclide, traduits du latin en français",Specified in source,1615,Paris,FRENCH,Denis Henrion,Jean Antoine Joallin,8.0,1.0,,,,1615.0,Paris,FRENCH,1600-1624
1–6,,DOU,Amsterdam_1616,,,1616,Amsterdam,DUTCH,Jan Pietersz Dou,Willem Iansz.,8.0,1.0,,,,1616.0,Amsterdam,DUTCH,1600-1624
1-15,,,Pesaro_1619a,De gli elementi d’Euclide libri quindici con gli scolii antichi,Specified in source,1619,Pesaro,ITALIAN,"Federico Commandino, Valerio Spacciuoli",Flaminio Concordia,2.0,1.0,,,,1619.0,Pesaro,ITALIAN,1600-1624
1-6,,ZAMBERTI/GRYNAEUS (THEON),London_1620,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ. ELEMENTORVM EVCLIDIS LIBRI TREDECIM,Specified in source,1620,London,"GREEK, LATIN",Henry Briggs,William Jones,2.0,1.0,,,,1620.0,London,GREEK | LATIN,1600-1624
1-15,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1621,"Les quinze livres des Éléments d’Euclide, traduits du latin en français",Specified in source,1621,Paris,FRENCH,Denis Henrion,Jean Antoine Joallin,8.0,1.0,,,,1621.0,Paris,FRENCH,1600-1624
1–15,,COMMANDINO,Paris_1622,,,1622,Paris,"FRENCH, LATIN",Pierre Le Mardelé,Denys Moreau,8.0,1.0,,,,1622.0,Paris,FRENCH | LATIN,1600-1624
1–15,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1623,,,1623,Paris,FRENCH,Denis Henrion,I. Ant. Ioallin,8.0,1.0,-,,,1623.0,Paris,FRENCH,1600-1624
"7-9, 1-3, 6, 13-14",,,Paris_1624,,,1624,Paris,FRENCH,Honorat de Meynier,Ivlian Iacqvin,8.0,,,,,1624.0,Paris,FRENCH,1600-1624
1–6,,DOU,Amsterdam_1626,,,1626,Amsterdam,DUTCH,Jan Pietersz Dou,Willem Iansz. Blaeuw,8.0,1.0,-,,,1626.0,Amsterdam,DUTCH,1625-1649
1–18,"Optica, Phaenomena (enunciations)",FOIX,Paris_1626a,,,1626,Paris,LATIN,Marin Mersenne (?),,8.0,1.0,-,,,1626.0,Paris,LATIN,1625-1649
1–6,,CLAVIUS,Ferrara_1628,,,1628,Ferrara,LATIN,Caterino Doino,Franciscum Succium,12.0,1.0,-,,,1628.0,Ferrara,LATIN,1625-1649
1–6,,D’ÉTAPLES,Geneva_1628,Les six premiers livres des éléments géométriques d’Euclide,Specified in source,1628,Geneva,FRENCH,"Jacques Peletier, Jean de Tournes",Jean di Tournes,8.0,1.0,,,True,1628.0,Geneva,FRENCH,1625-1649
1–6,,CLAVIUS,Beijing_1629,,,1629,Beijing,CHINESE,"Xu Guangqi, Matteo Ricci, Li Zhizao",,,1.0,-,,,1629.0,Beijing,CHINESE,1625-1649
1–6,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1630,"Les six premiers livres des Elemens d'Euclide, traduits de latin en françois, par D. Henrion",Provided by catalog,1630,Paris,FRENCH,Denis Henrion,Samuel Thiboust,8.0,1.0,6003127,,,1630.0,Paris,FRENCH,1625-1649
1-15,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1631,"Les quinze livres des Éléments d’Euclide, traduits du latin en français",Specified in source,1631,Paris,FRENCH,Denis Henrion,Isaac Dedin,8.0,1.0,,,,1631.0,Paris,FRENCH,1625-1649
1-15,Data,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1632,Les quinze livres des éléments géométriques d'Euclide,Provided by catalog,1632,Paris,FRENCH,Denis Henrion,Isaac Dedin,4.0,1.0,,,,1632.0,Paris,FRENCH,1625-1649
1–15,,COMMANDINO,Paris_1632a,,,1632,Paris,FRENCH,Pierre Le Mardelé,Denys Moreau,8.0,1.0,,,,1632.0,Paris,FRENCH,1625-1649
1–6,,DOU,Rotterdam_1632,,,1632,Rotterdam,DUTCH,Jan Pietersz Dou,,8.0,1.0,,,,1632.0,Rotterdam,DUTCH,1625-1649
1–6,,COMMANDINO,Hamburg_1633,,,1633,Hamburg,DUTCH,Jacob Willemsz,Volrad Gaubisch,4.0,1.0,-,,,1633.0,Hamburg,DUTCH,1625-1649
1-15,Data,HÉRIGONE/BARROW,Paris_1634,Cursus mathematicus,Specified in source,1634,Paris,"FRENCH, LATIN",Pierre Hérigone,Henri Le Gras,8.0,6.0,,"[ME]: Bilingual edition: Either ""cursus mathematicus"" or ""cours mathematique"". ",,1634.0,Paris,FRENCH | LATIN,1625-1649
1–6,,ZAMBERTI/GRYNAEUS (THEON),Alcala_1637,,,1637,Alcala,"DUTCH, LATIN",Luis Carducci,,4.0,1.0,,,,1637.0,Alcala,DUTCH | LATIN,1625-1649
1–6,,COMMANDINO,Hamburg_1638,,,1638,Hamburg,DUTCH,Jacob Willemsz,Hendrik Werner,4.0,1.0,-,,,1638.0,Hamburg,DUTCH,1625-1649
1–6,,HÉRIGONE/BARROW,Paris_1639,"Les Six premiers livres des Éléments d'Euclide, démonstrez par notes d'une méthode très briève et intelligible,... par Pierre Hérigone,...",Provided by catalog,1639,Paris,FRENCH,Pierre Hérigone,Henri Le Gras,8.0,1.0,,,,1639.0,Paris,FRENCH,1625-1649
1–6,,CLAVIUS,Venice_1641,,,1641,Venice,LATIN,Caterino Doino,,12.0,1.0,-,,,1641.0,Venice,LATIN,1625-1649
1–6,,HÉRIGONE/BARROW,Paris_1644,Euclides: Les six premiers livres des Éléments d'Euclide,Provided by catalog,1644,Paris,FRENCH,Pierre Hérigone,Simon Piget,8.0,1.0,,,,1644.0,Paris,FRENCH,1625-1649
1-15,Data,HÉRIGONE/BARROW,Paris_1644b,"Cursus mathematicus noua, breui, et clara methodo demonstratus",Invented by enterer,1644,Paris,"FRENCH, LATIN",Pierre Hérigone,Simon Piget,8.0,6.0,,,,1644.0,Paris,FRENCH | LATIN,1625-1649
1–18 (enunciations),"Phaenomena, Data (enunciations)",FOIX,Paris_1644c,,,1644,Paris,LATIN,Marin Mersenne,Antoine Bertier,4.0,1.0,,,,1644.0,Paris,LATIN,1625-1649
1–15,,COMMANDINO,Lyon_1645,,,1645,Lyon,FRENCH,Pierre Le Mardelé,Simon Rigaud,8.0,1.0,,,,1645.0,Lyon,FRENCH,1625-1649
1–15,,COMMANDINO,Lyon_1646,,,1646,Lyon,FRENCH,Pierre Le Mardelé,Simon Rigaud,8.0,1.0,-,,,1646.0,Lyon,FRENCH,1625-1649
1–6,,DOU,Rotterdam_1647,,,1647,Rotterdam,DUTCH,Jan Pietersz Dou,Pieter van Waesberghe,8.0,1.0,-,,,1647.0,Rotterdam,DUTCH,1625-1649
1–6,,DOU,Utrecht_1647,,,1647,Utrecht,DUTCH,Jan Pietersz Dou,Jan van Waesberge,8.0,1.0,-,,,1647.0,Utrecht,DUTCH,1625-1649
1–6,,CLAVIUS,Venice_1647,,,1647,Venice,LATIN,Caterino Doino,,8.0,1.0,-,,,1647.0,Venice,LATIN,1625-1649
1–15,,MAGNIENUS/GRACILIS and DASYPODIUS,Rouen_1649,"Les quinze livres des éléments, , traduicts de latin en françois par D. Henrion",Provided by catalog,1649,Rouen,FRENCH,Denis Henrion,Clément Malassis,8.0,1.0,6811239,,,1649.0,Rouen,FRENCH,1625-1649
1–6,,DOU,London_1651,"Euclides Elements of geometry: the first VI books: in a compendious form contracted and demonstrated. By Captain Thomas Rudd, chiefe engineer to his late Majesty. Whereunto is added, the mathematicall preface of Mr. John Dee.",Provided by catalog,1651,London,ENGLISH,Thomas Rudd,Richard Tomlins and Robert Boydell,4.0,1.0,3067003,,,1651.0,London,ENGLISH,1650-1674
?,,,Paris_1652,,,1652,Paris,FRENCH,Honorat de Meynier,,12.0,,,,,1652.0,Paris,FRENCH,1650-1674
1–6,,COMMANDINO,Amsterdam_1660,,,1660,Amsterdam,DUTCH,Jacob Willemsz,Jan van Ravesteyn,4.0,1.0,,,,1660.0,Amsterdam,DUTCH,1650-1674
1–16,Data,CLAVIUS,London_1661,,,1661,London,ENGLISH,"John Leeke, George Serle",Richard Tomlins,2.0,1.0,,,,1661.0,London,ENGLISH,1650-1674
1–6,,CLAVIUS,Leiden_and_Amsterdam_1673,,,1673,"Leiden, Amsterdam",LATIN,Christian Melder,"Daniel, Abraham, and Adriaan van Gaesbeeck",6.0,1.0,,,,1673.0,"Leiden, Amsterdam",LATIN,1650-1674
1–15,Data,MAGNIENUS/GRACILIS and DASYPODIUS,Rouen_1676,,,1676,Rouen,FRENCH,Denis Henrion,Jean Lucas,8.0,2.0,,,,1676.0,Rouen,FRENCH,1675-1699
1–15,Data,MAGNIENUS/GRACILIS and DASYPODIUS,Rouen_and_Paris_1677,,,1677,"Rouen, Paris",FRENCH,Denis Henrion,Jean d’Houry,8.0,1.0,-,,,1677.0,"Rouen, Paris",FRENCH,1675-1699
1–6,,COMMANDINO,Naples_1679,,,1679,Naples,LATIN,Leonardo Fioravanti,Cosmi Fioravanti,8.0,1.0,,,,1679.0,Naples,LATIN,1675-1699
