elements_books,additional_content,wardhaugh_classification,key,short_title,short_title_source,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,year_num,city_clean,language_clean,period_25
1–15,Data,HÉRIGONE/BARROW,London_1687,"Euclidis Elementorum libri XV. breviter demonstrati, opera Is. Barrow, Cantabrigiensis, Coll. Trin. Soc. Et prioribus mendis typographicis nunc demum purgati.",Provided by catalog,1687,London,LATIN,Isaac Barrow,Abel Swalle,8.0,1.0,3113673,,,1687.0,London,LATIN,1675-1699
?,,,Paris_1643,,,1643,Paris,FRENCH,Pierre Bourdín,François Pelican,12.0,,-,,,1643.0,Paris,FRENCH,1625-1649
1–6,,MAGNIENUS/GRACILIS and DASYPODIUS,Milan_1671,,,1671,Milan,ITALIAN,Pietro Paolo Caravaggi,Lodouico Monza,12.0,1.0,-,,,1671.0,Milan,ITALIAN,1650-1674
"1–6, 11–12",,CLAVIUS,Paris_1683,,,1683,Paris,FRENCH,Claude-François Milliet Dechales,Estienne Michallet,12.0,1.0,,,,1683.0,Paris,FRENCH,1675-1699
"1–6, 11–12",,CLAVIUS,Paris_1690,,,1690,Paris,FRENCH,Claude-François Milliet Dechales,Estienne Michallet,12.0,1.0,,,,1690.0,Paris,FRENCH,1675-1699
"1–6, 11–12",,CLAVIUS,Paris_1677a,,,1677,Paris,FRENCH,Claude-François Milliet Dechales,Estienne Michallet,12.0,1.0,,,,1677.0,Paris,FRENCH,1675-1699
7-9,,ZAMBERTI/GRYNAEUS (THEON),Augsburg_1555,"Das sibend, acht und neünt büch des hochberümbten mathematici Euclidis Megarensis",Specified in source,1555,Augsburg,GERMAN,Johannes Scheubel,Valentin Ottmar,4.0,1.0,,,,1555.0,Augsburg,GERMAN,1550-1574
1–6,,DOU,Rotterdam_1661,,,1661,Rotterdam,DUTCH,Jan Pietersz Dou,Abraham van Waesberge,8.0,1.0,,,,1661.0,Rotterdam,DUTCH,1650-1674
1–6,,DOU,Amsterdam_1700b,,,1700,Amsterdam,DUTCH,Jan Pietersz Dou,Hendrik Boterenbrood,8.0,1.0,-,,,1700.0,Amsterdam,DUTCH,1700-1724
1–6,,DOU,Amsterdam_1701,,,1701,Amsterdam,DUTCH,Jan Pietersz Dou,Hendrik Boterenbrood,8.0,1.0,-,,,1701.0,Amsterdam,DUTCH,1700-1724
1-6,,ZAMBERTI/GRYNAEUS (THEON),Ansbach_1610,Die ersten sechs Bücher Elementorum Euclidis,Specified in source,1610,Ansbach,"GERMAN, LATIN",Simon Marius,Paulum Böhm,2.0,1.0,,,,1610.0,Ansbach,GERMAN | LATIN,1600-1624
1–16 (enunciations),,COMMANDINO,Amsterdam_1662,,,1662,Amsterdam,DUTCH,Frans van Schooten,Iacob van Leest,12.0,1.0,,,,1662.0,Amsterdam,DUTCH,1650-1674
"1-6, 11-12",,COMMANDINO,Oxford_1701,"Euclidis elementorum libri priores sex, item undecimus et duodecimus ex versione latina Federici Commandini in usum juventutis academicae",Specified in source,1701,Oxford,LATIN,John Keill,Henry Clements,8.0,1.0,-,,,1701.0,Oxford,LATIN,1700-1724
1-6,,FOIX,Paris_1598a,Les six premiers livres des Éléments d’Euclide,Specified in source,1598,Paris,FRENCH,Jean Errard,Guillaume Auvray,8.0,1.0,,,,1598.0,Paris,FRENCH,1575-1599
1-9,,FOIX,Paris_1605,Les nevf premiers livres des elemens,Specified in source,1605,Paris,FRENCH,Jean Errard,Guillaume Auvray,8.0,1.0,,,,1605.0,Paris,FRENCH,1600-1624
1–9,,FOIX,Paris_1629,,,1629,Paris,FRENCH,Jean Errard,Cardin Besongne,4.0,1.0,,,,1629.0,Paris,FRENCH,1625-1649
"10, ?",,,Paris_1640,,,1640,Paris,FRENCH,Jacques-Alexandre Le Tenneur,,4.0,,,,,1640.0,Paris,FRENCH,1625-1649
7-9,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1565,"Les septième, huitième et neuvième livres des Éléments d’Euclide",Specified in source,1565,Paris,FRENCH,Pierre Forcadel,Charles Perier,4.0,1.0,,,,1565.0,Paris,FRENCH,1550-1574
1-6,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1564,"Les six premiers livres des Éléments d’Euclide, traduits et commentés",Specified in source,1564,Paris,FRENCH,Pierre Forcadel,"Jérôme de Marnef, Guillaume Cauellat",4.0,1.0,,,,1564.0,Paris,FRENCH,1550-1574
1-6,,CLAVIUS,Paris_1654a,Les Elements d’Euclide,Specified in source,1654,Paris,FRENCH,Georges Fournier,Jean Henault,8.0,1.0,,,,1654.0,Paris,FRENCH,1650-1674
"1–6, 11–12",,TACQUET,Brussels_1701,,,1701,Brussels,SPANISH,Sebastián Fernández de Medrano,Lamberto Marchant,8.0,1.0,-,,,1701.0,Brussels,SPANISH,1700-1724
1-6,,ZAMBERTI/GRYNAEUS (THEON),Seville_1576,Los seis libros primeros de la geometría de Euclides,Specified in source,1576,Seville,SPANISH,Rodorigo de Zamorano,Alonso de la Barrera,4.0,1.0,336161,,,1576.0,Seville,SPANISH,1575-1599
"1-6, 11-12",,TACQUET,Brussels_1689,"Elementos geometricos de Euclides, los seis primeros libros de los planos; y los onzeno, y dozeno de los solidos: con algunos selectos theoremas de Archimedes. Traducidos, y explicados por el P. Jacobo Kresa de la Compañia de Jesus, cathedratico de mathem",Provided by catalog,1689,Brussels,SPANISH,Jacobo Kresa,Francisco Foppens,4.0,1.0,1554692,,,1689.0,Brussels,SPANISH,1675-1699
"1-6, 11-12",,CLAVIUS,Lyon_1672,Huict Livres des Elements d’Euclide rendus plus faciles,Specified in source,1672,Lyon,FRENCH,Claude-François Milliet Dechales,Benoist Coral,12.0,1.0,,,,1672.0,Lyon,FRENCH,1650-1674
