author_canonical,circulation_profile,matched_edition_count,total_profile_editions,practical_title_page_claim_edition_share,any_practical_title_page_claim,majority_practical_title_page_claim,book_1_6_or_1_6_plus_solids_edition_share,any_book_1_6_or_1_6_plus_solids,majority_book_1_6_or_1_6_plus_solids,non_latin_language_edition_share,any_non_latin_language,majority_non_latin_language,mentions_institution_edition_share,any_mentions_institution,majority_mentions_institution,jesuit_marker_edition_share,any_jesuit_marker,majority_jesuit_marker
Niccolò Tartaglia,single_city_series,2,5,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Oronce Finé,single_city_series,2,3,0.0,False,False,1.0,True,True,0.0,False,False,0.5,True,True,0.0,False,False
Pierre de Montdoré,single_city_series,2,2,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Pierre de la Ramée,single_city_series,2,3,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Pietro Paolo Caravaggi,single_city_series,2,2,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Sebastián Fernández de Medrano,single_city_series,2,2,1.0,True,True,1.0,True,True,1.0,True,True,0.5,True,True,0.0,False,False
"Albrecht Dürer, Joachim Camerarius",single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Ambrosius Lacher,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
"André Tacquet, William Whiston",single_city_series,1,1,1.0,True,True,1.0,True,True,0.0,False,False,1.0,True,True,1.0,True,True
Antoine Arnauld,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
"Antonio de Nájera, Juan de la Rocha",single_city_series,1,1,1.0,True,True,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False
Bernard Lamy,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False
Christian Herlin,single_city_series,1,3,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Christian Melder,single_city_series,1,1,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
Christoph Meurer,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",single_city_series,1,1,0.0,False,False,1.0,True,True,0.0,False,False,1.0,True,True,1.0,True,True
Claas Janszen Vooght,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Claude Hardy,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False
Claude Richard,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False
D. Joanni Franciso Polo,single_city_series,1,1,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
David Gregory,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False
Edmund Scarburgh,single_city_series,1,2,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0.0,False,False
Erhard Ratdolt,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Federico Commandino,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Florimond du Puy,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
"Gemma Frisius, Pierre Forcadel",single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Gilles François Gottignies,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False
"Henry Billingsley, John Dee",single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Henry Briggs,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Honoré Fabri,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False
Ignazio Danti,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False
Jacobo Kresa,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,1.0,True,True,0.0,False,False
Jacques Lefèvre d'Étaples,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
"Jacques Peletier, Jean de Tournes",single_city_series,1,2,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Jacques Rohault,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
"Jacques Rohault, Claude Clerselier",single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Jacques-Alexandre Le Tenneur,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Jean Prestet,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
"Joachim Kammermeister, Georg Joachim Rhäticus",single_city_series,1,1,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
"Joachim Kammermeister, Moritz Valentin Steinmetz",single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False
Joannes Sthen,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
"Johannes Vögelin, Johann Alexander Brassicanus",single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False
John Keill,single_city_series,1,1,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
"John Leeke, George Serle",single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Jonas Moore,single_city_series,1,1,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,0.0,False,False
Josias Rihel,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Leonardo Achati,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Leonardo Fioravanti,single_city_series,1,1,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
Luca Pacioli,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Lucas Brunn,single_city_series,1,1,1.0,True,True,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False
Luis Carducci,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Marcus Meibom,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Marinus Neapolitanus,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Martinus Erici Gestrinius,single_city_series,1,1,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
"Michael, Joachim Tancke, Philipp Melanchthon",single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Nasir al-Din al-Tusi,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Pedro Ambrosio Ondériz,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Pierre Bourdín,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False
Pietro Antonio Cataldi,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Porpora,single_city_series,1,1,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
Robert Recorde,single_city_series,1,1,1.0,True,True,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Rodorigo de Zamorano,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,1.0,True,True,0.0,False,False
Roland Fréart,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Simon Grynaeus,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Simon Marius,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
"Thomas Bradwardine, Pedro Ciruelo",single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Thomas Rudd,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Valentin Naboth,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Vincenzio Viviani,single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,1.0,True,True,0.0,False,False
Vitale Giordano da Bitonto,single_city_series,1,1,0.0,False,False,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False
Wilhelm Xylander,single_city_series,1,1,1.0,True,True,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
"Xu Guangqi, Matteo Ricci",single_city_series,1,2,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
"Xu Guangqi, Matteo Ricci, Li Zhizao",single_city_series,1,1,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Étienne Gracile,single_city_series,1,1,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
