geographic_reach_type,author_line_count,edition_count,author_line_share,edition_share
single_city,90,149,0.75,0.5209790209790209
interregional_route,17,64,0.14166666666666666,0.22377622377622378
single_region,10,43,0.08333333333333333,0.15034965034965034
pan_european_multi_region,3,30,0.025,0.1048951048951049
