cluster_key,item_key,year,year_num,city,language,author_or_editor,short_title
3EC771,Paris_1621,1621,1621.0,Paris,FRENCH,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
433EA3,Lyon_1557,1557,1557.0,Lyon,LATIN,Jacques Peletier,In Euclidis Elementa geometrica demonstrationum libri sex
433EA3,Geneva_1610,1610,1610.0,Geneva,LATIN,Jacques Peletier,In Euclidis Elementa geometrica demonstrationum libri sex
488235,Basel_1537,1537,1537.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
488235,Basel_1546,1546,1546.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
48FFCA,Paris_1544,1544,1544.0,Paris,LATIN,Oronce Finé,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
48FFCA,Paris_1551,1551,1551.0,Paris,LATIN,Oronce Finé,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
511DB1,Paris_1536,1536,1536.0,Paris,LATIN | GREEK,Oronce Finé,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
511DB1,Paris_1544,1544,1544.0,Paris,LATIN,Oronce Finé,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
516BE0,Paris_1549,1549,1549.0,Paris,LATIN,Pierre de la Ramée,Euclides
516BE0,Paris_1558a,1558,1558.0,Paris,LATIN,Pierre de la Ramée,Euclides
541676,Lyon_1557,1557,1557.0,Lyon,LATIN,Jacques Peletier,In Euclidis Elementa geometrica demonstrationum libri sex
541676,Geneva_1610,1610,1610.0,Geneva,LATIN,Jacques Peletier,In Euclidis Elementa geometrica demonstrationum libri sex
5A9AEC,Rome_1629,1629,1629.0,Rome,LATIN,"Christopher Clavius, Christoph Grienberger",
5A9AEC,Rome_1655,1655,1655.0,Rome,LATIN,"Christopher Clavius, Christoph Grienberger",Euclidis sex primi elementorum geometricorum libri cum parte vndecimi ex maioribus Clavuii commentarijs in commodiorem formam contracti. Rerumque mathematicarum Christophori Grienbergeri Oenohallensis è Societate Iesu opusculum primum. Accessere Isaaci Monachi In sex eosdem libros scholia
6199F5,Paris_1557,1557,1557.0,Paris,LATIN,"Jean Magnien, Étienne Gracile","Euclidis Elementorum libri XV, Graecè et Latinè"
6199F5,Cologne_1564,1564,1564.0,Cologne,LATIN,"Jean Magnien, Étienne Gracile","Euclidis elementorum libri XV, Graece et Latine"
63B0F2,Paris_1565,1565,1565.0,Paris,FRENCH,Pierre Forcadel,"Les septième, huitième et neuvième livres des Éléments d’Euclide"
63B0F2,Paris_1565a,1565,1565.0,Paris,FRENCH,Pierre Forcadel,"Les septième, huitième et neuvième livres des Éléments d’Euclide"
677374,London_1678,1678,1678.0,London,LATIN,Isaac Barrow,EUCLIDIS ELEMENTORUM Libri XV. breviter demonstrati
677374,London_1685,1685,1685.0,London,LATIN,Isaac Barrow,
69662F,Paris_1610,1610,1610.0,Paris,FRENCH,Didier Dounot,Les éléments de la géométrie d’Euclide Mégarien
69662F,Paris_1613,1613,1613.0,Paris,FRENCH,Didier Dounot,Les éléments de la géométrie d’Euclide Mégarien
6E7B7F,Wittenberg_1609,1609,1609.0,Wittenberg,LATIN,Ambrosius Rhode,Euclidis elementorum libri XIII
6E7B7F,Wittenberg_1634,1634,1634.0,Wittenberg,LATIN,Ambrosius Rhode,Euclidis elementorum libri XIII
6FAA21,Venice_1505,1505,1505.0,Venice,LATIN,Bartolomeo Zamberti,Euclidis megarensis philosophi platonici mathematicarum disciplinarum Ianitoris
6FAA21,Venice_1510,1510,1510.0,Venice,LATIN,Bartolomeo Zamberti,Euclidis megarensis philosophi platonici mathematicarum disciplinarum janitoris
6TZUKK,Cologne_1580,1580,1580.0,Cologne,LATIN,"Jean Magnien, Étienne Gracile",
6TZUKK,Cologne_1587,1587,1587.0,Cologne,LATIN,"Jean Magnien, Étienne Gracile",
70EC9A,Venice_1565,1565,1565.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
70EC9A,Venice_1585,1585,1585.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
725DB7,Venice_1565,1565,1565.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
725DB7,Venice_1586,1586,1586.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
7908FD,Paris_1557,1557,1557.0,Paris,LATIN,"Jean Magnien, Étienne Gracile","Euclidis Elementorum libri XV, Graecè et Latinè"
7908FD,Cologne_1564,1564,1564.0,Cologne,LATIN,"Jean Magnien, Étienne Gracile","Euclidis elementorum libri XV, Graece et Latine"
7BDH40,Paris_1557,1557,1557.0,Paris,LATIN,"Jean Magnien, Étienne Gracile","Euclidis Elementorum libri XV, Graecè et Latinè"
7BDH40,Cologne_1564,1564,1564.0,Cologne,LATIN,"Jean Magnien, Étienne Gracile","Euclidis elementorum libri XV, Graece et Latine"
7BZII3,Beijing_1607,1607,1607.0,Beijing,CHINESE,"Xu Guangqi, Matteo Ricci",
7BZII3,Beijing_1611,1611,1611.0,Beijing,CHINESE,"Xu Guangqi, Matteo Ricci",
7D4571,Paris_1557,1557,1557.0,Paris,LATIN,"Jean Magnien, Étienne Gracile","Euclidis Elementorum libri XV, Graecè et Latinè"
7D4571,Cologne_1564,1564,1564.0,Cologne,LATIN,"Jean Magnien, Étienne Gracile","Euclidis elementorum libri XV, Graece et Latine"
7DF2B5,Paris_1565,1565,1565.0,Paris,FRENCH,Pierre Forcadel,"Les septième, huitième et neuvième livres des Éléments d’Euclide"
7DF2B5,Paris_1565a,1565,1565.0,Paris,FRENCH,Pierre Forcadel,"Les septième, huitième et neuvième livres des Éléments d’Euclide"
7F0AFC,Ingolstadt_1617,1617,1617.0,Ingolstadt,LATIN,Johann Lanz,Euclidis elementorum geometricorum libri sex priores
7F0AFC,Bologna_1629,1629,1629.0,Bologna,LATIN,Johann Lanz,Euclidis elementorum geometricorum libri sex priores
7FA130,Venice_1565,1565,1565.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
7FA130,Venice_1585,1585,1585.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
8FLVS0,Paris_1610,1610,1610.0,Paris,FRENCH,Didier Dounot,Les éléments de la géométrie d’Euclide Mégarien
8FLVS0,Paris_1613,1613,1613.0,Paris,FRENCH,Didier Dounot,Les éléments de la géométrie d’Euclide Mégarien
9DFF43,Paris_1615,1615,1615.0,Paris,FRENCH,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
9DFF43,Paris_1621,1621,1621.0,Paris,FRENCH,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
9ZQKIV,Paris_1527,1527,1527.0,Paris,LATIN,Johannes de Sacrobosco,
9ZQKIV,Paris_1531,1531,1531.0,Paris,LATIN,Johannes de Sacrobosco,
9ZQKIV,Paris_1534,1534,1534.0,Paris,LATIN,Johannes de Sacrobosco,
C3FKBW,Venice_1505,1505,1505.0,Venice,LATIN,Bartolomeo Zamberti,Euclidis megarensis philosophi platonici mathematicarum disciplinarum Ianitoris
C3FKBW,Venice_1510,1510,1510.0,Venice,LATIN,Bartolomeo Zamberti,Euclidis megarensis philosophi platonici mathematicarum disciplinarum janitoris
