from_language,to_language,edge_count,cluster_count,earliest_from_year,latest_to_year
LATIN,LATIN,48,44,1505,1692
FRENCH,FRENCH,16,15,1565,1799
ITALIAN,ITALIAN,8,8,1575,1814
GERMAN,GERMAN,4,4,1773,1818
CHINESE,CHINESE,1,1,1607,1611
DUTCH,DUTCH,1,1,1647,1647
ENGLISH,ENGLISH,1,1,1705,1705
ITALIAN,LATIN,1,1,1543,1565
LATIN | GREEK,LATIN,1,1,1536,1544
