author_canonical,key,city,region
Denis Henrion,Paris_1623,Paris,France
Honorat de Meynier,Paris_1624,Paris,France
Jan Pietersz Dou,Amsterdam_1626,Amsterdam,Low Countries
Marin Mersenne,Paris_1626a,Paris,France
Caterino Doino,Ferrara_1628,Ferrara,Italy
"Jacques Peletier, Jean de Tournes",Geneva_1628,Geneva,Unmapped
"Xu Guangqi, Matteo Ricci, Li Zhizao",Beijing_1629,Beijing,Unmapped
Denis Henrion,Paris_1630,Paris,France
Denis Henrion,Paris_1631,Paris,France
Denis Henrion,Paris_1632,Paris,France
Pierre Le Mardelé,Paris_1632a,Paris,France
Jan Pietersz Dou,Rotterdam_1632,Rotterdam,Low Countries
Jacob Willemsz,Hamburg_1633,Hamburg,German lands
Pierre Hérigone,Paris_1634,Paris,France
Luis Carducci,Alcala_1637,Alcala,Iberia
Jacob Willemsz,Hamburg_1638,Hamburg,German lands
Pierre Hérigone,Paris_1639,Paris,France
Caterino Doino,Venice_1641,Venice,Italy
Pierre Hérigone,Paris_1644,Paris,France
Pierre Hérigone,Paris_1644b,Paris,France
Marin Mersenne,Paris_1644c,Paris,France
Pierre Le Mardelé,Lyon_1645,Lyon,France
Pierre Le Mardelé,Lyon_1646,Lyon,France
Jan Pietersz Dou,Rotterdam_1647,Rotterdam,Low Countries
Jan Pietersz Dou,Utrecht_1647,Utrecht,Low Countries
Caterino Doino,Venice_1647,Venice,Italy
Denis Henrion,Rouen_1649,Rouen,France
Thomas Rudd,London_1651,London,England
Honorat de Meynier,Paris_1652,Paris,France
Jacob Willemsz,Amsterdam_1660,Amsterdam,Low Countries
"John Leeke, George Serle",London_1661,London,England
Christian Melder,Leiden_and_Amsterdam_1673,Leiden,Low Countries
Christian Melder,Leiden_and_Amsterdam_1673,Amsterdam,Low Countries
Denis Henrion,Rouen_1676,Rouen,France
Denis Henrion,Rouen_and_Paris_1677,Rouen,France
Denis Henrion,Rouen_and_Paris_1677,Paris,France
Leonardo Fioravanti,Naples_1679,Naples,Unmapped
Jan Pietersz Dou,Rotterdam_1681,Rotterdam,Low Countries
"Jacques Rohault, Claude Clerselier",Paris_1682a,Paris,France
Claude-François Milliet Dechales,Lausanne_1683,Lausanne,Swiss/Upper Rhine
Denis Henrion,Rouen_and_Paris_1683,Rouen,France
Denis Henrion,Rouen_and_Paris_1683,Paris,France
D. Joanni Franciso Polo,Bologna_1684,Bologna,Italy
Denis Henrion,Rouen_and_Paris_1685,Rouen,France
Denis Henrion,Rouen_and_Paris_1685,Paris,France
Jacques Rohault,The_Hague_1690,The Hague,Unmapped
Henrick Coets,Leiden_1691,Leiden,Low Countries
Henrick Coets,Leiden_1692,Leiden,Low Countries
Jacques Ozanam,Paris_1693,Paris,France
Anton Ernst Burckhard von Pirckenstein,Vienna_1694,Vienna,Unmapped
Claas Janszen Vooght,Amsterdam_1695,Amsterdam,Low Countries
Jacques Ozanam,Amsterdam_1697,Amsterdam,Low Countries
Jacques Ozanam,Paris_1697,Paris,France
Anton Ernst Burckhard von Pirckenstein,Lübeck_and_Frankfurt_1699,Lübeck,Unmapped
Anton Ernst Burckhard von Pirckenstein,Lübeck_and_Frankfurt_1699,Frankfurt,German lands
Elias Astorinus,Naples_1701,Naples,Unmapped
Pietro Paolo Caravaggi,Milan_1702,Milan,Unmapped
Porpora,Naples_1702,Naples,Unmapped
Isaac Barrow,London_1705,London,England
Samuel Reyher,Kiel_Hamburg_and_Leipzig_1697,Hamburg,German lands
Samuel Reyher,Kiel_Hamburg_and_Leipzig_1697,Leipzig,Unmapped
David Gregory,Oxford_1703,Oxford,England
Christoffer Dybvad,Lyon_1603,Lyon,France
Antoine Arnauld,Paris_1667,Paris,France
Giovanni Alfonso Borelli,Pisa_1658,Pisa,Unmapped
Jean Prestet,Paris_1675,Paris,France
Vitale Giordano da Bitonto,Rome_1680,Rome,Italy
Bernard Lamy,Paris_1685,Paris,France
Lucas Brunn,Nuremberg_1625,Nuremberg,Unmapped
André Tacquet,Antwerp_1665,Antwerp,Low Countries
Giovanni Alfonso Borelli,Rome_1695,Rome,Italy
Martinus Erici Gestrinius,Uppsala_1642,Uppsala,Unmapped
Christopher Clavius,Mainz_1611_1612,Mainz,German lands
Jean de la Pène,Paris_1557a,Paris,France
Jean de la Pène,Paris_1557b,Paris,France
Conrad Dasypodius,Strasbourg_1557,Strasbourg,Swiss/Upper Rhine
Francesco Maurolico,Messina_1558,Messina,Unmapped
Pierre Forcadel,Paris_1565a,Paris,France
Pierre Forcadel,Paris_1566b,Paris,France
Ignazio Danti,Florence_1573,Florence,Unmapped
Pedro Ambrosio Ondériz,Madrid_1585,Madrid,Unmapped
Jean de la Pène,Leiden_1599,Leiden,Low Countries
Jean de la Pène,Paris_1604,Paris,France
Roland Fréart,Le_Mans_1663,Le Mans,Unmapped
Giorgio Valla,Venice_1498,Venice,Italy
Johannes de Sacrobosco,Paris_1500,Paris,France
Johannes de Sacrobosco,Paris_1507,Paris,France
Johannes de Sacrobosco,Paris_1511,Paris,France
Johannes de Sacrobosco,Paris_1516a,Paris,France
Johannes de Sacrobosco,Paris_1521,Paris,France
Johannes de Sacrobosco,Paris_1527,Paris,France
Johannes de Sacrobosco,Paris_1531,Paris,France
Johannes de Sacrobosco,Paris_1534,Paris,France
Johannes de Sacrobosco,Paris_1538,Paris,France
Conrad Dasypodius,Strasbourg_1572,Strasbourg,Swiss/Upper Rhine
Guiseppe Auria,Rome_1591,Rome,Italy
Antonio Possevino,Rome_1593,Rome,Italy
Antonio Possevino,Venice_1603,Venice,Italy
Antonio Possevino,Cologne_1607a,Cologne,German lands
Christoph Meurer,Leipzig_1607,Leipzig,Unmapped
Guiseppe Auria,Rome_1609,Rome,Italy
Claude Hardy,Paris_1625,Paris,France
Marcus Meibom,Amsterdam_1652,Amsterdam,Low Countries
Isaac Barrow,Cambridge_1657,Cambridge,England
"Thomas Bradwardine, Pedro Ciruelo",70Q8M8,Paris,France
Giorgio Valla,IC4Y79,Venice,Italy
"Johannes Vögelin, Johann Alexander Brassicanus",TTORPR,Vienna,Unmapped
Robert Recorde,FA6MQ0,London,England
André Tacquet,WWE4ON,Leuven,Low Countries
Gilles François Gottignies,ZQA6JR,Rome,Italy
Edmund Scarburgh,F2WVY3,Oxford,England
"Gemma Frisius, Pierre Forcadel",ZNLALU,Paris,France
Simon Stevin,1QQS64,Rotterdam,Low Countries
"Michael, Joachim Tancke, Philipp Melanchthon",4ZSED7,Leipzig,Unmapped
"Albrecht Dürer, Joachim Camerarius",JTZKPV,Paris,France
Pietro Antonio Cataldi,8DP4C1,Bologna,Italy
Honoré Fabri,Lyon_1669,Lyon,France
Edmund Scarburgh,Oxford_1705,Oxford,England
Marinus Neapolitanus,T4DFPF,Basel,Swiss/Upper Rhine
Bartolomeo Zamberti,GY5QLD,Basel,Swiss/Upper Rhine
