edition_key,corpus,year,city,language,format,geometrical_dotted_lines,token_lines,other_dotted_lines,has_dotted_diagrams_wide_sense,raw_dotted_lines,lines_classified,notes,has_diagrams,reprint_of,short_title,author_or_editor,publisher,volumes,ustc_id,elements_books,includes_elements_plane_geometry_books_1_6,includes_elements_arithmetical_books_7_9,includes_elements_book_10,includes_elements_solid_geometry_books_11_13,additional_content,reprint_of_inferred_from_clusters,reprint_cluster_comparison
7Y5IWJ,Additional Work,1582,Antwerp,FRENCH,8,,,,No (has diagrams),No (has diagrams),Yes,Probably reprint of bib-262,TRUE,,L'arithmetique,"Gemma Frisius, Pierre Forcadel","Jan Verwithagen, Joannes Withagius",1,75011,,,,,,,ZNLALU,clusters only
bib-19,Additional Work,1583,Alcala,SPANISH,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Tratado_de_Geometria_practica_y_speculat/7-ItjGhUIogC? https://www.google.co.il/books/edition/Tratado_de_Geometria_practica_y_speculat/7-ItjGhUIogC?hl=en&gbpv=1&pg=PA185&printsec=frontcoverhl=en&gbpv=1&pg=PA181&printsec=frontcover,TRUE,,,Juan Pérez de Moya,Juan Gracián,,,,,,,,,,neither
bib-152,Additional Work,1583,Venice,ITALIAN,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,,Girolamo Maggi,Camillo Borgominiero,,,,,,,,,,neither
bib-253,Additional Work,1583,Lyon,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Johannes Stadius,"Q. Philip Tinghi, Symphorian Beraud, Stephen Michael",,,,,,,,,,neither
5V691B,Additional Work,1583,Basel,LATIN,8,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,Epiloimia seu liber tristium Joan.thomae freigii quaestiones geometricae et stereometricae in euclidis & rami stoicheiosin: in quibus logica veterum mathematicorum illustratur et demonstratur.,Johannes Thomas Freig,Sebastian Henricpetri,1,667395,,,,,,,,neither
B9OW5O,Additional Work,1583,Vienna,GERMAN,2,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,"Classify as ""art""?",FALSE,,"Künstlicher und zierlicher newer vor nie gesehener funfftzig perspectifischer stueck oder boden aus rechtem grundt und arth des circkels, winckelmaß unnd richtscheit, mit rechter schattierung tag und nachts",Georg Hass,Stephan Creutzer,1,669590,,,,,,,,neither
612FNN,Additional Work,1583,Rome,ITALIAN,2,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Le_due_regole_della_prospettiva_pratica/17YyRxt3OYYC?hl=en&gbpv=1&pg=RA1-PA55&printsec=frontcover,TRUE,,Le due regole della prospettiva pratica di m. Iacomo Barozzi da Vignola con i commentarii del reverendo padre maestro Egnatio Danti dell'Ordine de predicatori matematico dello studio di Bologna,"Giacomo Barozzi da Vignola, Egnazio Danti",Francesco Zanetti,1,807538,,,,,,,,neither
bib-87,Additional Work,1584,Brescia,ITALIAN,,Geometrical,,,Yes,Geometrical,Yes,classify as Agriculture / Hydraulics ? https://www.google.co.il/books/edition/Dell_Arte_Del_Misurare_Libri_Due_Nel_Pri/NCFaAAAAcAAJ?hl=en&gbpv=1&pg=PA24&printsec=frontcover,TRUE,,"Dell’arte del misurare libri due, nel primo de’ quali s’insegna a misurare et partir i campi. Nel secondo a misurar le muraglie imbottar grani vini fieni & strami; col liuellar dell’acque & altre cose necessarie a gli agrimensori. Libri primo",Girolamo Cataneo,Thomaso Bozzola,,,,,,,,,,neither
bib-181,Additional Work,1584,Paris,LATIN,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,classify: pedagogy,FALSE,,"Testamentum, cum senatusconsulto et promulgatione professionis institutae ab ipso testatore",Pierre de la Ramée,Jean Richer,,171828,,,,,,,,neither
TMVVZN,Additional Work,1584,Milan,ITALIAN,4,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,classify: art?,FALSE,,"Trattato dell'arte de la pittura, di Giovanni Paolo Lomazzo milanese pittore. Diviso in sette libri. Ne' quali si contiene tutta la theorica, & la prattica d'essa pittura",Giovanni Paolo Lomazzo,Paolo Gottardo Da Ponte,1,838474,,,,,,,,neither
MYFHIS,Additional Work,1584,Venice,ITALIAN,4,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,Only architecture plans,FALSE,,"Tutte l'opere d'architettura di Sebastiano Serlio bolognese. Dove si trattano in disegno quelle cose che sono piu necessarie all'architetto. Et hora di nuovo aggiunto, oltre il libro delle porte, gran numero di case private nella citta & in villa, et un indice copiosissimo raccolto per via di considerationi da m. Giovanni Domenico Scamozzi","Sebastiano Serlio, Giovanni Domenico Scamozzi",Francesco de Franceschi,1,856063,,,,,,,,neither
bib-5,Additional Work,1585,Paris,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Jacques Chauvet,Henry Thierry,,,,,,,,,,neither
bib-35,Additional Work,1585,Turin,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,"Diversarum speculationum mathematicarum, & physicarum liber, quarum seriem sequens pagina indicabit",Giovanni Battista Benedetti,Nicolò Bevilacqua,1,813589,,,,,,,,neither
bib-90,Additional Work,1585,Paris,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Jacques Chauvet,Henry Thierry,,,,,,,,,,neither
bib-186,Additional Work,1585,Leiden,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Simon Stevin,Christophe Plantin,,,,,,,,,,neither
bib-258,Additional Work,1585,Leiden,DUTCH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Simon Stevin,Christophe Plantin,,,,,,,,,,neither
TJONV6,Additional Work,1585,Paris,FRENCH,8,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,L'arithmetique ,"Gemma Frisius, Lucas Tremblay, Pierre Forcadel","Guillaume Cavellat, Charles Roger, Jérôme de Marnef",1,23263,,,,,,,,neither
X2T7PY,Additional Work,1586,Rome,LATIN,,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,Fabrica et usus instrumenti ad horologiorum descriptionem,Christopher Clavius,Bartholomaeus Grassium,1,,,,,,,,,neither
X5YBIB,Additional Work,1586,Paris,FRENCH,4,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,La practique de la geometrie ,"Oronce Finé, Pierre Forcadel",Gilles Gourbin,1,39209,,,,,,,LYNX18,clusters only
144JC3,Additional Work,1586,Ferrara,ITALIAN,4,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,"Della nuova geometria di Franc. Patrici libri XV. Ne' quali con mirabile ordine, e con dimostrazioni a maraviglia più facili, e più forti delle usate si vede che le matematiche per via regia, e più piana che da gli antichi fatto non si è, si possonotrattare",Francesco Patrizi,Vittorio Baldini,1,847045,,,,,,,,neither
Ferrara_1587,Additional Work,1587,Ferrara,ITALIAN,,,,,No (has diagrams),No (has diagrams),Yes,dots for angles equality,TRUE,,Della nuova geometria,Francesco Patrizi,Vittorio Baldini,1,,,,,,,,,neither
bib-45,Additional Work,1587,Venice,ITALIAN,,Geometrical,,,Yes,Geometrical,Yes,Only one (and it's also eahh...) p. 349,TRUE,,,Oronce Finé,Francesco de Franceschi,,,,,,,,,,neither
bib-154,Additional Work,1590,London,ENGLISH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Leonard Digges,Richard Field,,,,,,,,,,neither
bib-259,Additional Work,1591,Tours,LATIN,,Token + Geometrical,Token + Geometrical,,Yes,Token + Geometrical,Yes,https://books.google.co.il/books?id=m4mmV9ZT3qEC&pg=PA29#v=onepage&q&f=false https://books.google.co.il/books?id=m4mmV9ZT3qEC&pg=PA85#v=onepage&q&f=false,TRUE,,"Michaelis Pselli Arithmetica, musica et geometria",Elie Vinet,Claude Michael,1,,,,,,,,,neither
bib-52,Additional Work,1592,Venice,LATIN,,Geometrical,,,Yes,Geometrical,Yes,"Also, intresting way to mark angles, resembles the instrument used to measure/draw it",TRUE,,,Antonio Magini Giovanni,Giovanni Battista Ciotti,,,,,,,,,,neither
XHZ2XV,Additional Work,1592,Tournon,LATIN,12,,,,No (has diagrams),No (has diagrams),Yes,reprint of bib-259 ?,TRUE,,"Arithmetica, musica et geometria: Procli sphaera",Elie Vinet,Claude Michel,1,110639,,,,,,,,neither
Tours_1593,Additional Work,1593,Tours,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,François Viète,Jamet Mettayer,,,,,,,,,,neither
JZ3MT9,Additional Work,1593,Antwerp,LATIN,4,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,"Ideae mathematicae pars prima, sive methodus polygonorum, qua laterum, perimetrorum & arearum cujuscunque polygoni investigandorum ratio exactissima & certissima; una cum circuli quadratura continentur",Adriaen von Roomen,Johannes Keerberg,1,413059,,,,,,,,neither
bib-59,Additional Work,1594,Leiden,LATIN,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,,Josephus Justus Scaliger,Franciscus Raphelengius,,,,,,,,,,neither
bib-105,Additional Work,1594,Nuremberg,LATIN,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/De_quadrante_geometrico_libellus_In_quo/pRN0YLpUbccC?hl=en&gbpv=1&pg=PA28&printsec=frontcover,TRUE,,,Cornelis Jode,Christoph Lochner,,,,,,,,,,neither
bib-67,Additional Work,1595,Paris,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,François Viète,Jamet Mettayer,,,,,,,,,,neither
bib-40,Additional Work,1596,Delft,GERMAN,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Van_Den_Circkel/nVlRAAAAcAAJ?hl=en&gbpv=1&pg=PA1&printsec=frontcover,TRUE,,,Ludolph van Ceulen,Jan Andriesz,,,,,,,,,,neither
GGD02E,Additional Work,1596,Venice,ITALIAN,2,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/La_pratica_di_prospettiua_del_caualiere/txlM4hOL3C8C?hl=en&gbpv=1&pg=PA7&printsec=frontcover,TRUE,,La pratica di prospettiua del cavalier Lorenzo Sirigatti al serenissimo Ferdinando Medici granduca di Toscana,Lorenzo Sirigatti,Girolamo De Franceschi,1,856542,,,,,,,,neither
bib-76,Additional Work,1598,Venice,LATIN,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Cosmographia_in_quatuor_libros_distribut/oIpV8g_tEt8C?hl=en&gbpv=1&pg=RA1-PA16&printsec=frontcover,TRUE,,,Franciscus Barocius,Gratiosus Perchacinus,,,,,,,,,,neither
bib-127,Additional Work,1598,Nuremberg,LATIN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Johannes Praetorius,Valentin Furmann,,,,,,,,,,neither
bib-148,Additional Work,1598,Paris,FRENCH,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Gouuernail_d_Ambroise_Bachot_capitaine_i/NFIOWGh5Vx0C?hl=en&gbpv=1&pg=PA6&printsec=frontcover,TRUE,,,Ambroise Bachot, Ambroise Bachot,,,,,,,,,,neither
bib-150,Additional Work,1598,London,ENGLISH,,,,Other (Army layout),Yes,Other (Army layout),Yes,Also classify as military/war ?,TRUE,,The theorike and practike of moderne warres discoursed in dialogue wise,Robert Barret,William Ponsonby,,513584,,,,,,,,neither
2BRI1Z,Additional Work,1598,Oxford,ENGLISH,2,,,,No (has diagrams),No (has diagrams),Yes,classify: art?,TRUE,,A tracte containing the artes of curious paintinge carvinge buildinge,Giovanni Paolo Lomazzo,"Richard Haydock, Joseph Barnes",1,513708,,,,,,,,neither
bib-20,Additional Work,1599,Rome,ITALIAN,,Geometrical + Tokens (triangular),Geometrical + Tokens (triangular),,Yes,Geometrical + Tokens (triangular),Yes,https://www.google.co.il/books/edition/Geometria_Prattica/zQQMJjpmuncC?hl=en&gbpv=1&pg=PR14&printsec=frontcover https://www.google.co.il/books/edition/Geometria_Prattica/zQQMJjpmuncC?hl=en&gbpv=1&pg=PR15&printsec=frontcover,TRUE,,Geometria prattica tratta dagl’Elementi d’Euclide et altri auttori da Giovanni Pomodoro venetiano mathematico eccellentissimo descritta et dichiarata da Giovanni Scala mathematico,"Giovanni Pomodoro, Giovanni Scala",Stefano de Paolini,,,,,,,,,,neither
bib-209,Additional Work,1600,Leiden,DUTCH,,Geometrical,,,Yes,Geometrical,Yes,https://books.google.co.il/books?id=cyXGxgvRGZoC&pg=PA49#v=onepage&q&f=false,TRUE,,,"Johan Sems, Jan Pietersz Dou",Jan Bouwmeester,,,,,,,,,,neither
bib-210,Additional Work,1600,Leiden,DUTCH,,Geometrical,,,Yes,Geometrical,Yes,https://books.google.nl/books?id=TBC0001otDUC&hl=iw&pg=PA118#v=onepage&q&f=false,TRUE,,,"Johan Sems, Jan Pietersz Dou",Jan Bouwmeester,,,,,,,,,,neither
bib-280,Additional Work,1600,Paris,FRENCH,,Geometrical,,,Yes,Geometrical,Yes,https://gallica.bnf.fr/ark:/12148/bpt6k1512241w,TRUE,,La fortification reduicte en art,Jean Errard,,,53108,,,,,,,,neither
WHEESV,Additional Work,1600,Pesaro,LATIN,2,Geometrical,,,Yes,Geometrical,Yes,in the TP! https://books.google.co.il/books?id=jPNDvGJS_YkC&pg=PP1#v=onepage&q&f=false but i'm almostt sure nowhere else - dowloaded anyways,TRUE,,Perspectiuae libri sex,Guidobaldo Del Monte,Girolamo Concordia,1,826168,,,,,,,,neither
NTML0S,Additional Work,1600,Venice,ITALIAN,4,Geometrical,,,Yes,Geometrical,Yes,https://euclides.huma-num.fr/resourcebox/diagrams?key=NTML0S,TRUE,,"Tutte l'opere d'architettura et prospettiva, di Sebastiano Serlio bolognese dove si mettono in disegno tutte le maniere di edificii, e si trattano di quelle cose che sono più necessarie a sapere gli architetti. Con la giunta delle invenzioni di cinquantaporte e gran numero di palazzi publici e privati Diviso in sette libri. Con un'indice [!] et un breve discorso sopra questa materia, raccolto da m. Giovanni Domenico Scamozzi vicentino. Di nuovo ristampate e corrette","Sebastiano Serlio, Giovanni Domenico Scamozzi",Francesco de Franceschi,1,856064,,,,,,,MYFHIS,clusters only
ustc-29,Additional Work,1602,Paris,FRENCH,,Geometrical,,,Yes,Geometrical,Yes,https://euclides.huma-num.fr/resourcebox/diagrams?key=ustc-29,TRUE,,La geometrie et practique generalle d'icelle. Au tres-chrestien roy de France et de Navarre,Jean Errard,,,6017214,,,,,,,,neither
bib-93,Additional Work,1603,Venice,ITALIAN,,Geometrical,,,Yes,Geometrical,Yes,https://www.google.co.il/books/edition/Pratica_d_arithmetica_e_geometria_etc/4YxmAAAAcAAJ?hl=en&gbpv=1&pg=PA280-IA1&printsec=frontcover,TRUE,,,Lorenzo Forestani,Giorgio Varisco,,,,,,,,,,neither
bib-212,Additional Work,1603,Amsterdam,DUTCH,,Geometrical + Other (Counting board),,Geometrical + Other (Counting board),Yes,Geometrical + Other (Counting board),Yes,https://books.google.co.il/books?id=FRJiAAAAcAAJ&pg=SL4791-PA168#v=onepage&q&f=false,TRUE,,,Nicolaus Petri,Cornelis Claesz,,,,,,,,,,neither
bib-283,Additional Work,1603,London,ENGLISH,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,probably a reprint,FALSE,,,Humfrey Baker,Thomas Purfoot,,,,,,,,,,neither
ustc-16,Additional Work,1604,Paris,FRENCH,,Geometrical,,,Yes,Geometrical,Yes,https://www.proquest.com/docview/2090307959?sourcetype=Books&imgSeq=123,TRUE,,"La Fabrique et l'usage du radiomètre, instrument géométrique et astronomique",Pierre Le Comte,,,6014623,,,,,,,,neither
Bologna_1620,Additional Work,1620,Bologna,ITALIAN,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,I primi sei libri de gl’Elementi d’Euclide ridotti alla Prattica,Pietro Antonio Cataldi,Cochi,1,,,,,,,,8DP4C1,clusters only
Paris_1626,Additional Work,1626,Paris,FRENCH,4,,,,Not relevant (no diagrrams in edition),,,,FALSE,,,Honorat de Meynier,"NICOLAS ROUSSET, Ivlian Iacqvin",,-,,,,,,,,neither
Bologna_1629a,Additional Work,1629,Bologna,LATIN,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,,Ovidio Montalbani,Clement Ferroni,,,,,,,,,,neither
Amsterdam_1660a,Additional Work,1660,Amsterdam,LATIN,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,,Gerrit Janszoon Vos,Jan Blaeu,,,,,,,,,,neither
Valencia_1673,Additional Work,1673,Valencia,LATIN,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,,José Zaragoza,,,,,,,,,,,neither
Rome_1679,Additional Work,1679,Rome,LATIN,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,"Euclides restitutus, sive prisca geometriae elementa",Giovanni Alfonso Borelli,Mascardi,1,,,,,,,,Pisa_1658,clusters only
Venice_1482,Main Elements,1482,Venice,LATIN,2,,,,Yes,,Yes,,TRUE,,"Preclarissimus liber elementorum Euclidis perspicacissimi, in artem geometrie incipit quam foelicissime",Erhard Ratdolt,Erhard Ratdolt,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Venice_1505,Main Elements,1505,Venice,LATIN,2,,,,Yes,,Yes,,TRUE,,Euclidis megarensis philosophi platonici mathematicarum disciplinarum Ianitoris,Bartolomeo Zamberti,Giovanni Tacuino,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,"Phaenomena, Optica, Catoptrica, Data",,neither
Venice_1510,Main Elements,1510,Venice,LATIN,2,,,,Yes,,Yes,,TRUE,Venice_1505,Euclidis megarensis philosophi platonici mathematicarum disciplinarum janitoris,Bartolomeo Zamberti,Giovanni Tacuino,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,"Phaenomena, Optica, Catoptrica, Data",Venice_1505,same reprint family
Venice_1509,Main Elements,1509,Venice,LATIN,2,,,,Yes,,Yes,,TRUE,,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controversia principis opera,Luca Pacioli,Paganino,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Paris_1516,Main Elements,1516,Paris,LATIN,2,,Tokens,,Yes,Tokens,Yes,,TRUE,,Euclidis Megarensis geometricorum elementorum libri XV,Jacques Lefèvre d'Étaples,Henri Estienne,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Basel_1533,Main Elements,1533,Basel,"GREEK, LATIN",2,,Tokens,,Yes,Tokens,Yes,,TRUE,,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ. Euclidis Elementa.,Simon Grynaeus,Johann Herwagen,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Paris_1536,Main Elements,1536,Paris,"LATIN, GREEK",2,,,,Yes,,Yes,,TRUE,,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,Oronce Finé,Simon de Colines,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Paris_1544,Main Elements,1544,Paris,LATIN,2,,,,Yes,,Yes,,TRUE,Paris_1536,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,Oronce Finé,Simon de Colines,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,Paris_1536,same reprint family
Paris_1551,Main Elements,1551,Paris,LATIN,4,,,,Yes,,Yes,,TRUE,Paris_1536,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes,Oronce Finé,Reginaldo Caldera,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,Paris_1536,same reprint family
Basel_1537,Main Elements,1537,Basel,LATIN,2,,Tokens,,Yes,Tokens,Yes,,TRUE,,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,Christian Herlin,Johann Herwagen,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,"Phaenomena, Catoptrica, Optica, Data, De levi et ponderoso",,neither
Basel_1546,Main Elements,1546,Basel,LATIN,2,,Tokens,,Yes,Tokens,Yes,,TRUE,Basel_1537,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV,Christian Herlin,Johann Herwagen,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,"Phaenomena, Catoptrica, Optica, Data, De levi et ponderoso",Basel_1537,same reprint family
Strasbourg_1559,Main Elements,1559,Strasbourg,"GREEK, LATIN",8,,Tokens,,Yes,Tokens,Yes,,TRUE,Basel_1537,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ ἐκ τῶν τοῦ Θέωνος συνουσιῶν τὸ πρῶτον,,Josias Rihel,1,,1,TRUE,FALSE,FALSE,FALSE,,,classification only
Strasbourg_1538,Main Elements,1538,Strasbourg,"GREEK, LATIN",4,,,,Yes,,Yes,,TRUE,,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ ἐκ τῶν τοῦ ΘΕΩΝΟΣ συνουσιῶν τὸ πρῶτον,Josias Rihel (?),Josias Rihel (?),1,,1,TRUE,FALSE,FALSE,FALSE,,,neither
Venice_1543,Main Elements,1543,Venice,ITALIAN,2,,,,Yes,,Yes,,TRUE,,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",Niccolò Tartaglia,Venturino Ruffinelli,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Venice_1565,Main Elements,1565,Venice,LATIN,8,,,,Yes,,Yes,,TRUE,Venice_1543,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",Niccolò Tartaglia,Curtio Troiano,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,De levi et ponderoso,Venice_1543,same reprint family
Venice_1569,Main Elements,1569,Venice,LATIN,8,,,,Yes,,Yes,,TRUE,Venice_1543,"Euclide megarense acutissimo philosopho, solo introduttore delle scientie mathematice",Niccolò Tartaglia,Giovanni Bariletto,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,De levi et ponderoso,,classification only
Venice_1585,Main Elements,1585,Venice,LATIN,4,,,,Yes,,Yes,,TRUE,Venice_1543,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",Niccolò Tartaglia,Troiano,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,De levi et ponderoso,Venice_1543,same reprint family
Venice_1586,Main Elements,1586,Venice,LATIN,4,,,,Yes,,Yes,,TRUE,Venice_1543,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",Niccolò Tartaglia,Troiano,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,De levi et ponderoso,Venice_1543,same reprint family
Rome_1545,Main Elements,1545,Rome,"GREEK, LATIN",8,,,,Yes,,Yes,,,,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε. Euclidis Elementorum libri XV,Angelo Caiani,,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,Includes only the enunciations,,neither
Rome_1545a,Main Elements,1545,Rome,LATIN,8,,,,Yes,,Yes,,,Rome_1545,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε. Euclidis Elementorum libri XV,Angelo Caiani,Antonio Blado Asolano,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,classification only
Leipzig_1549,Main Elements,1549,Leipzig,LATIN,8,,,,Yes,,Yes,,TRUE,,"Euclidis elementorum geometricorum libri sex, conversi in Latinum sermonem","Joachim Kammermeister, Georg Joachim Rhäticus",Georg Joachim Rhäticus,1,654436,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Paris_1549,Main Elements,1549,Paris,LATIN,8,,,,Yes,,Yes,,,,Euclides,Pierre de la Ramée,Thomas Richardus,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,Includes only the enunciations,,neither
Paris_1558a,Main Elements,1558,Paris,LATIN,4,,,,Yes,,Yes,,,Paris_1549,Euclides,Pierre de la Ramée,Thomas Richard,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,Includes only the enunciations,Paris_1549,same reprint family
Basel_1550,Main Elements,1550,Basel,LATIN,2,"Geometrical (Multiple diagrams in Books~I, III and VI)",,,Yes,"Geometrical (Multiple diagrams in Books~I, III and VI)",Yes,,TRUE,,Euclidis Megarensis philosophi et mathematici excellentissimi sex libri priores de geometricis principiis,Johannes Scheubel,Johann Herwagen,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Paris_1551a,Main Elements,1551,Paris,LATIN,4,,Tokens,,Yes,Tokens,Yes,,TRUE,,Euclidis elementorum liber decimus,Pierre de Montdoré,Jean de Vascosan,1,,10,FALSE,FALSE,TRUE,FALSE,,,neither
Augsburg_1555,Main Elements,1555,Augsburg,GERMAN,4,,,,Yes,,Yes,,TRUE,,"Das sibend, acht und neünt büch des hochberümbten mathematici Euclidis Megarensis",Johannes Scheubel,Valentin Ottmar,1,,"7, 8, 9",FALSE,TRUE,FALSE,FALSE,,,neither
Cologne_1556,Main Elements,1556,Cologne,LATIN,8,,,,Yes,,Yes,,,,Euclidis Megarensis mathematici clarissimi elementorum geometricorum liber primus,Valentin Naboth,Birckmann,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,,,neither
Lyon_1557,Main Elements,1557,Lyon,LATIN,2,,,,Yes,,Yes,,TRUE,,In Euclidis Elementa geometrica demonstrationum libri sex,Jacques Peletier,"Jean di Tournes, Guillaume Gazeau",1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Basel_1562,Main Elements,1562,Basel,GERMAN,2,Geometrical (Multiple diagrams in Books~I--IV and VI),,,Yes,Geometrical (Multiple diagrams in Books~I--IV and VI),Yes,,TRUE,,"Die sechs ersten Bücher Euclidis, vom Anfang oder Grund der Geometrie",Wilhelm Xylander,,1,,"1, 2, 3, 4, 5, 6",TRUE,FALSE,FALSE,FALSE,,,neither
Cologne_1564,Main Elements,1564,Cologne,LATIN,8,,Tokens,,Yes,Tokens,Yes,,TRUE,,"Euclidis elementorum libri XV, Graece et Latine","Jean Magnien, Étienne Gracile",Maternus Cholinus,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",TRUE,TRUE,TRUE,TRUE,Includes only the enunciations,Paris_1557,clusters only
