edition_key,corpus,year,city,language,format,geometrical_dotted_lines,token_lines,other_dotted_lines,has_dotted_diagrams_wide_sense,raw_dotted_lines,lines_classified,notes,has_diagrams,reprint_of,short_title,author_or_editor,publisher,volumes,ustc_id,elements_books,includes_elements_plane_geometry_books_1_6,includes_elements_arithmetical_books_7_9,includes_elements_book_10,includes_elements_solid_geometry_books_11_13,additional_content,reprint_of_inferred_from_clusters,reprint_cluster_comparison
bib-276,Additional Work,1560,Padua,LATIN,2,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,"Procli Diadochi Lycii philosophi platonici ac mathematici probatissimi In primum Euclidis Elementorum librum commentariorum ad vniuersam mathematicam disciplinam principium eruditionis tradentium libri IIII. A Francisco Barocio patritio Veneto summa opera, cura, ac diligentia cunctis mendis expurgati: scholiis, & figuris, quae in graeco codice omnes desiderabantnr [!] aucti: primùm iam Romanae linguae venustate donati, et nunc recèns editi. Cum catalogo deorum, & virorum illustrium, atque autorum ... & indice locupleti notabilium omnium in opere contentorum",Francesco Barozzi,Gracioso Perchacino,1,851416,,,,,,,,neither
2I9HSY,Additional Work,1560,Paris,FRENCH,2,Geometrical,,,Yes,Geometrical,Yes,,TRUE,,Livre de perspective,Jean Cousin,Jean Le Royer,1,23189,,,,,,,,neither
bib-47,Additional Work,1561,Paris,FRENCH,,Geometrical (dividing line),,,Yes,Geometrical (dividing line),Yes,reprint?,,,,Abel Foullon,Pierre Beguin,,,,,,,,,bib-46,clusters only
bib-91,Additional Work,1563,Venice,ITALIAN,4,,,,No (has diagrams),No (has diagrams),Yes,"No dotted, but there are areas filled with dots (https://www.google.co.il/books/edition/Libro_di_arithmetica_geometria_speculati/k178vmPQwfYC?hl=en&gbpv=1&pg=PP155&printsec=frontcover)",TRUE,,"Libro di arithmetica & geometria speculativa & praticale, composto per maestro Francesco Feliciano da Lazesio veronese intitulato Scala grimaldelli, novamente stampato",Francesco Feliciano,,1,828977,,,,,,,,neither
bib-266,Additional Work,1563,Antwerp,FRENCH,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,Arithmetique de M. Valentin Mennher,Valentin Mennher,Gilles Copenius,1,,,,,,,,,neither
bib-282,Additional Work,1563,Paris,FRENCH,,,Tokens (triangular and cubic numbers),,Yes,Tokens (triangular and cubic numbers),Yes,"traingle numbers: https://gallica.bnf.fr/ark:/12148/bpt6k87026586 ; lines ""segmented"" (ruller-like) https://gallica.bnf.fr/ark:/12148/bpt6k87026586",TRUE,,l'art d'arithmetique,Claude de Boissière,Guillaume Cavellat,1,,,,,,,,,neither
bib-4,Additional Work,1564,Paris,FRENCH,,Geometrical,,,Yes,Geometrical,Yes,"Also ""segmented"" and ""ruller"" lines -- many!",TRUE,,Petit traicte de geometrie et d'horologiographie pratique,Jean Bullant,Guillaume Cavellat,1,30232,,,,,,,bib-3,clusters only
bib-33,Additional Work,1564,Venice,ITALIAN,4,,,,No (has diagrams),No (has diagrams),Yes,Many segmented lines,TRUE,,"Del modo di misurare le distantie, le superficie, i corpi, le piante, le provincie, le prospettiue, & tutte le altre cose terrene, che possono occorrere a gli uomini, secondo le vere regole d'Euclide, & de gli altri più lodati scrittori",Cosimo Bartoli,Francesco de Franceschi,1,812411,,,,,,,,neither
bib-39,Additional Work,1564,Venice,ITALIAN,,,,Other (Army layout) + Other (map),Yes,Other (Army layout) + Other (map),Yes,,TRUE,,Della fortificatione delle città,"Girolamo Maggi, Jacomo Fusti Castriotto",Rutilio Borgominiero,1,,,,,,,,,neither
bib-285,Additional Work,1564,London,ENGLISH,,,,,Not relevant (no diagrrams in edition),No (has diagrams),Yes,,FALSE,,,Humfrey Baker,"Henry Denham, James Rowbothum",,,,,,,,,,neither
